code,party,turnout
AL1,R,152308
AL1,D,88365
AL2,R,138581
AL2,D,86580
AL3,R,147480
AL3,D,83145
AL4,R,183958
AL4,D,46370
AL5,R,156532
AL5,D,99694
AL6,R,192227
AL6,D,85337
AL7,,
AKAL,R,126655
AKAL,D,107165
AZ1,D,111886
AZ1,R,97958
AZ2,D,125349
AZ2,R,109759
AZ3,D,78308
AZ3,R,49331
AZ4,R,156086
AZ4,D,67346
AZ5,R,125782
AZ5,D,83894
AZ6,R,122974
AZ6,D,95105
AZ7,D,67796
AZ7,GP,12647
AZ8,R,123681
AZ8,D,94583
AZ9,D,100618
AZ9,R,68604
AR1,R,138436
AR1,D,57459
AR2,R,131712
AR2,D,115564
AR3,R,148088
AR3,D,74278
AR4,R,135300
AR4,D,63271
CA1,R,110236
CA1,D,86137
CA2,D,135375
CA2,R,46731
CA3,D,87643
CA3,R,65628
CA4,R,120601
CA4,D,97345
CA5,D,121689
CA5,,34279
CA6,D,58007
CA6,D,14781
CA7,D,54097
CA7,R,48597
CA8,R,66136
CA8,R,43589
CA9,D,56188
CA9,R,47316
CA10,R,56701
CA10,D,55414
CA11,D,110188
CA11,R,43053
CA12,D,161212
CA12,R,27231
CA13,D,106951
CA13,GP,14983
CA14,D,75585
CA14,R,23325
CA15,D,81428
CA15,R,34953
CA16,D,44769
CA16,R,37480
CA17,D,72765
CA17,R,27590
CA18,D,100440
CA18,R,40135
CA19,D,75959
CA19,R,32149
CA20,D,95124
CA20,,25236
CA21,R,35416
CA21,D,30577
CA22,R,75111
CA22,D,59528
CA23,R,89568
CA23,D,45152
CA24,D,96088
CA24,R,75578
CA25,D,83662
CA25,R,79545
CA26,D,96489
CA26,R,65894
CA27,D,104414
CA27,D,28740
CA28,D,127153
CA28,R,39188
CA29,D,78470
CA29,R,20592
CA30,D,124383
CA30,R,49887
CA31,D,61747
CA31,R,48234
CA32,D,79335
CA32,R,39600
CA33,D,144380
CA33,R,67939
CA34,D,70695
CA34,GP,24593
CA35,D,58982
