Poll,Date,Sample,MoE,McAdams (D),Love (R),Spread
Final Results,--,--,--,50.1,49.9,McAdams +0.2
RCP Average,10/3 - 10/26,--,--,47.0,44.7,McAdams +2.3
NY Times/SienaNY Times/Siena,10/24 - 10/26,526 LV,4.7,45,45,Tie
KUTV/Dixie StrategiesKUTV,10/25 - 10/25,936 LV,3.2,50,43,McAdams +7
Salt Lake TribuneSalt Lake Tribune,10/3 - 10/11,403 RV,4.9,46,46,Tie
UtahPolicy/Dan JonesUtahPolicy,8/22 - 9/6,400 LV,4.9,46,49,Love +3
Salt Lake TribuneSalt Lake Tribune,6/11 - 6/18,379 RV,5.0,39,45,Love +6
UtahPolicy/Dan JonesUtahPolicy,5/15 - 6/5,405 LV,5.0,43,47,Love +4
UtahPolicy/Dan JonesUtahPolicy,2/9 - 2/21,404 RV,4.9,43,49,Love +6
Salt Lake Tribune/Dan JonesSalt Lake Tribune,1/15 - 1/22,400 RV,4.9,42,47,Love +5
Salt Lake Tribune/Dan JonesSalt Lake Tribune,10/9 - 10/18,402 RV,4.9,42,48,Love +6
