code,party,turnout
AL1,GOP,152308
AL1,Dem,88365
AL2,GOP,138581
AL2,Dem,86580
AL3,GOP,147480
AL3,Dem,83145
AL4,GOP,183958
AL4,Dem,46370
AL5,GOP,156532
AL5,Dem,99694
AL6,GOP,192227
AL6,Dem,85337
AL7,,
AKAL,GOP,126655
AKAL,Dem,107165
AZ1,Dem,111886
AZ1,GOP,97958
AZ2,Dem,125349
AZ2,GOP,109759
AZ3,Dem,78308
AZ3,GOP,49331
AZ4,GOP,156086
AZ4,Dem,67346
AZ5,GOP,125782
AZ5,Dem,83894
AZ6,GOP,122974
AZ6,Dem,95105
AZ7,Dem,67796
AZ7,GP,12647
AZ8,GOP,123681
AZ8,Dem,94583
AZ9,Dem,100618
AZ9,GOP,68604
AR1,GOP,138436
AR1,Dem,57459
AR2,GOP,131712
AR2,Dem,115564
AR3,GOP,148088
AR3,Dem,74278
AR4,GOP,135300
AR4,Dem,63271
CA1,GOP,110236
CA1,Dem,86137
CA2,Dem,135375
CA2,GOP,46731
CA3,Dem,87643
CA3,GOP,65628
CA4,GOP,120601
CA4,Dem,97345
CA5,Dem,121689
CA5,,34279
CA6,Dem,58007
CA6,Dem,14781
CA7,Dem,54097
CA7,GOP,48597
CA8,GOP,66136
CA8,GOP,43589
CA9,Dem,56188
CA9,GOP,47316
CA10,GOP,56701
CA10,Dem,55414
CA11,Dem,110188
CA11,GOP,43053
CA12,Dem,161212
CA12,GOP,27231
CA13,Dem,106951
CA13,GP,14983
CA14,Dem,75585
CA14,GOP,23325
CA15,Dem,81428
CA15,GOP,34953
CA16,Dem,44769
CA16,GOP,37480
CA17,Dem,72765
CA17,GOP,27590
CA18,Dem,100440
CA18,GOP,40135
CA19,Dem,75959
CA19,GOP,32149
CA20,Dem,95124
CA20,,25236
CA21,GOP,35416
CA21,Dem,30577
CA22,GOP,75111
CA22,Dem,59528
CA23,GOP,89568
CA23,Dem,45152
CA24,Dem,96088
CA24,GOP,75578
CA25,Dem,83662
CA25,GOP,79545
CA26,Dem,96489
CA26,GOP,65894
CA27,Dem,104414
CA27,Dem,28740
CA28,Dem,127153
CA28,GOP,39188
CA29,Dem,78470
CA29,GOP,20592
CA30,Dem,124383
CA30,GOP,49887
CA31,Dem,61747
CA31,GOP,48234
CA32,Dem,79335
CA32,GOP,39600
CA33,Dem,144380
CA33,GOP,67939
CA34,Dem,70695
CA34,GP,24593
CA35,Dem,58982
CA35,GOP,28282
CA36,Dem,57675
CA36,GOP,44616
CA37,Dem,134719
CA37,GOP,17972
CA38,Dem,91031
CA38,GOP,45115
CA39,GOP,76956
CA39,Dem,73077
CA40,Dem,61357
CA40,GP,17454
CA41,Dem,43929
CA41,GOP,28749
CA42,GOP,61833
CA42,Dem,42245
CA43,Dem,97911
CA43,GOP,31188
CA44,Dem,65748
CA44,Dem,28961
CA45,GOP,94998
CA45,Dem,88765
CA46,Dem,47763
CA46,GOP,27600
CA47,Dem,86427
CA47,GOP,52131
CA48,Dem,91750
CA48,GOP,89068
CA49,Dem,76135
CA49,GOP,69031
CA50,GOP,66934
CA50,Dem,56481
CA51,Dem,43387
CA51,GOP,21323
CA52,Dem,91206
CA52,GOP,58821
CA53,Dem,79839
CA53,GOP,42445
CO1,Dem,147329
CO1,GOP,53382
CO2,Dem,212332
CO2,GOP,121200
CO3,GOP,159878
CO3,Dem,133345
CO4,GOP,181513
CO4,Dem,111312
CO5,GOP,138434
CO5,Dem,90143
CO6,Dem,151239
CO6,GOP,125963
CO7,Dem,150385
CO7,GOP,92630
CT1,Dem,172568
CT1,GOP,94754
CT2,Dem,178873
CT2,GOP,102326
CT3,Dem,151942
CT3,GOP,92940
CT4,Dem,165278
CT4,GOP,106156
CT5,Dem,140922
CT5,GOP,110965
DEAL,Dem,227333
DEAL,GOP,125381
KY1,GOP,172167
KY1,Dem,78849
KY2,GOP,171700
KY2,Dem,79964
KY3,Dem,173002
KY3,GOP,101930
KY4,GOP,162946
KY4,Dem,90536
KY5,GOP,172093
KY5,Dem,45890
KY6,GOP,154468
KY6,Dem,144736
FL1,GOP,215980
FL1,Dem,105998
FL2,GOP,199112
FL2,Dem,96068
FL3,GOP,176286
FL3,Dem,129153
FL4,GOP,247197
FL4,Dem,122512
FL5,Dem,180105
FL5,GOP,89664
FL6,GOP,187705
FL6,Dem,145546
FL7,Dem,182949
FL7,GOP,134253
FL8,GOP,217931
FL8,Dem,142209
FL9,Dem,171941
FL9,GOP,124460
FL10,,
FL11,GOP,239242
FL11,Dem,127933
FL12,GOP,194436
FL12,Dem,132695
FL13,Dem,182563
FL13,GOP,134183
FL14,,
FL15,GOP,151063
FL15,Dem,133686
FL16,GOP,196965
FL16,Dem,163996
FL17,GOP,193185
FL17,Dem,117074
FL18,GOP,183376
FL18,Dem,153543
FL19,GOP,211321
FL19,Dem,127952
FL20,,
FL21,,
FL22,Dem,172220
FL22,GOP,106303
FL23,Dem,154052
FL23,GOP,95220
FL24,,
FL25,GOP,128611
FL25,Dem,84034
FL26,Dem,119723
FL26,GOP,115644
FL27,Dem,130636
FL27,GOP,115546
GA1,GOP,143931
GA1,Dem,104406
GA2,Dem,135707
GA2,GOP,92132
GA3,GOP,191700
GA3,Dem,100733
GA4,Dem,225879
GA4,GOP,60817
GA5,,
GA6,Dem,159268
GA6,GOP,156396
GA7,GOP,139804
GA7,Dem,138914
GA8,,
GA9,GOP,224412
GA9,Dem,57823
GA10,GOP,190080
GA10,Dem,111938
GA11,GOP,191529
GA11,Dem,118053
GA12,GOP,148092
GA12,Dem,100986
GA13,Dem,220748
GA13,GOP,69401
GA14,GOP,175482
GA14,Dem,53841
HI1,Dem,134603
HI1,GOP,42480
HI2,Dem,153132
HI2,GOP,44816
ID1,GOP,195774
ID1,Dem,93634
ID2,GOP,170280
ID2,Dem,110386
IL1,Dem,176560
IL1,GOP,49976
IL2,Dem,183816
IL2,GOP,43875
IL3,Dem,155940
IL3,GOP,56350
IL4,Dem,134522
IL4,GOP,21083
IL5,Dem,197162
IL5,GOP,62039
IL6,Dem,156346
IL6,GOP,139667
IL7,Dem,199625
IL7,GOP,27776
IL8,Dem,124908
IL8,GOP,65576
IL9,Dem,202372
IL9,GOP,74910
IL10,Dem,151860
IL10,GOP,80361
IL11,Dem,140907
IL11,GOP,80775
IL12,GOP,134009
IL12,Dem,116985
IL13,GOP,135680
IL13,Dem,131958
IL14,Dem,142261
IL14,GOP,131819
IL15,GOP,177682
IL15,Dem,69234
IL16,GOP,149205
IL16,Dem,100789
IL17,Dem,139461
IL17,GOP,86218
IL18,GOP,193543
IL18,Dem,93330
IN1,Dem,121800
IN1,GOP,58903
IN2,GOP,117901
IN2,Dem,88588
IN3,GOP,158355
IN3,Dem,86420
