state,district,name,party
Alabama,1,Bradley Byrne,R
Alabama,2,Martha Roby,R
Alabama,3,Mike Rogers,R
Alabama,4,Robert Aderholt,R
Alabama,5,Mo Brooks,R
Alabama,6,Gary Palmer,R
Alabama,7,Terri Sewell,D
Alaska,AL,Don Young,R
Arizona,1,Tom O'Halleran,D
Arizona,2,Ann Kirkpatrick,D
Arizona,3,Raúl Grijalva,D
Arizona,4,Paul Gosar,R
Arizona,5,Andy Biggs,R
Arizona,6,David Schweikert,R
Arizona,7,Ruben Gallego,D
Arizona,8,Debbie Lesko,R
Arizona,9,Greg Stanton,D
Arkansas,1,Rick Crawford,R
Arkansas,2,French Hill,R
Arkansas,3,Steve Womack,R
Arkansas,4,Bruce Westerman,R
California,1,Doug LaMalfa,R
California,2,Jared Huffman,D
California,3,John Garamendi,D
California,4,Tom McClintock,R
California,5,Mike Thompson,D
California,6,Doris Matsui,D
California,7,Ami Bera,D
California,8,Paul Cook,R
California,9,Jerry McNerney,D
California,10,Josh Harder,D
California,11,Mark DeSaulnier,D
California,12,Nancy Pelosi,D
California,13,Barbara Lee,D
California,14,Jackie Speier,D
California,15,Eric Swalwell,D
California,16,Jim Costa,D
California,17,Ro Khanna,D
California,18,Anna Eshoo,D
California,19,Zoe Lofgren,D
California,20,Jimmy Panetta,D
California,21,TJ Cox,D
California,22,Devin Nunes,R
California,23,Kevin McCarthy,R
California,24,Salud Carbajal,D
California,25,Katie Hill,D
California,26,Julia Brownley,D
California,27,Judy Chu,D
California,28,Adam Schiff,D
California,29,Tony Cárdenas,D
California,30,Brad Sherman,D
California,31,Pete Aguilar,D
California,32,Grace Napolitano,D
California,33,Ted Lieu,D
California,34,Jimmy Gomez,D
California,35,Norma Torres,D
California,36,Raul Ruiz,D
California,37,Karen Bass,D
California,38,Linda Sánchez,D
California,39,Gil Cisneros,D
California,40,Lucille Roybal-Allard,D
California,41,Mark Takano,D
California,42,Ken Calvert,R
California,43,Maxine Waters,D
California,44,Nanette Barragán,D
California,45,Katie Porter,D
California,46,Lou Correa,D
California,47,Alan Lowenthal,D
California,48,Harley Rouda,D
California,49,Mike Levin,D
California,50,Duncan D. Hunter,R
California,51,Juan Vargas,D
California,52,Scott Peters,D
California,53,Susan Davis,D
Colorado,1,Diana DeGette,D
Colorado,2,Joe Neguse,D
Colorado,3,Scott Tipton,R
