Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/13 - 10/22,--,--,48.8,46.4,Biden +2.4
Susquehanna*Susquehanna*,10/19 - 10/22,500 LV,4.3,46,47,Trump +1
Rasmussen ReportsRasmussen,10/18 - 10/19,800 LV,3.5,48,47,Biden +1
Reuters/IpsosReuters,10/14 - 10/21,658 LV,4.0,49,46,Biden +3
CNBC/Change Research (D)CNBC,10/16 - 10/19,232 LV,--,51,45,Biden +6
CBS News/YouGovCBS News,10/13 - 10/16,1074 LV,4.1,50,47,Biden +3
Reuters/IpsosReuters,10/7 - 10/14,667 LV,4.0,50,46,Biden +4
Monmouth*Monmouth*,10/9 - 10/13,502 LV,4.4,51,44,Biden +7
Trafalgar Group (R)*Trafalgar (R)*,10/6 - 10/8,1087 LV,2.9,44,48,Trump +4
OH Predictive InsightsPredictive Insights,10/4 - 10/8,608 LV,4.0,50,47,Biden +3
CNBC/Change Research (D)CNBC,10/2 - 10/4,296 LV,--,51,45,Biden +6
Reuters/IpsosReuters,9/29 - 10/7,633 LV,4.3,48,46,Biden +2
NY Times/Siena*NYT/Siena*,10/1 - 10/3,655 LV,4.2,49,41,Biden +8
USA Today/Suffolk*USA Today*,9/26 - 9/30,500 LV,4.4,50,46,Biden +4
SusquehannaSusquehanna,9/25 - 9/28,500 LV,4.3,47,47,Tie
CNBC/Change Research (D)CNBC,9/18 - 9/20,262 LV,--,49,43,Biden +6
ABC News/Wash PostABC/WP,9/15 - 9/20,579 LV,4.5,48,49,Trump +1
Reuters/IpsosReuters,9/11 - 9/17,565 LV,4.7,47,46,Biden +1
NY Times/Siena*NYT/Siena*,9/11 - 9/16,653 LV,4.1,49,40,Biden +9
Monmouth*Monmouth*,9/11 - 9/15,420 LV,4.8,48,46,Biden +2
GravisGravis,9/10 - 9/11,684 LV,3.8,50,48,Biden +2
CBS News/YouGovCBS News,9/9 - 9/11,1106 LV,--,47,44,Biden +3
OH Predictive InsightsPredictive Insights,9/8 - 9/10,600 LV,4.0,52,42,Biden +10
CNBC/Change Research (D)CNBC,9/4 - 9/6,LV,--,49,45,Biden +4
FOX News*FOX News*,8/29 - 9/1,772 LV,3.5,49,40,Biden +9
CNBC/Change Research (D)CNBC,8/21 - 8/23,344 LV,--,49,47,Biden +2
EmersonEmerson,8/8 - 8/10,661 LV,3.8,49,45,Biden +4
CNBC/Change Research (D)CNBC,8/7 - 8/9,428 LV,--,45,44,Biden +1
Trafalgar Group (R)*Trafalgar (R)*,8/5 - 8/8,1013 LV,3.0,45,46,Trump +1
OH Predictive InsightsPredictive Insights,8/3 - 8/4,603 LV,4.0,49,45,Biden +4
CNBC/Change Research (D)CNBC,7/24 - 7/26,365 LV,--,47,45,Biden +2
CNNCNN,7/18 - 7/24,873 RV,3.8,49,45,Biden +4
NBC News/MaristNBC/Marist,7/14 - 7/22,826 RV,4.1,50,45,Biden +5
CNBC/Change Research (D)CNBC,7/10 - 7/12,345 LV,--,51,45,Biden +6
CBS News/YouGovCBS News,7/7 - 7/10,1099 RV,3.8,46,46,Tie
OH Predictive InsightsPredictive Insights,7/6 - 7/7,600 LV,4.0,49,44,Biden +5
GravisGravis,6/27 - 6/27,527 LV,4.3,45,49,Trump +4
CNBC/Change Research (D)CNBC,6/26 - 6/28,1119 LV,--,51,44,Biden +7
CNBC/Change Research (D)CNBC,6/12 - 6/14,201 LV,--,45,44,Biden +1
NY Times/SienaNYT/Siena,6/8 - 6/16,650 RV,4.3,48,41,Biden +7
FOX NewsFOX News,5/30 - 6/2,1002 RV,3.0,46,42,Biden +4
CNBC/Change Research (D)CNBC,5/29 - 5/31,329 LV,--,44,45,Trump +1
OH Predictive InsightsPredictive Insights,5/9 - 5/11,600 LV,4.0,50,43,Biden +7
OH Predictive InsightsPredictive Insights,4/7 - 4/8,600 LV,4.0,52,43,Biden +9
NBC News/MaristNBC/Marist,3/10 - 3/15,2523 RV,2.7,47,46,Biden +1
MonmouthMonmouth,3/11 - 3/14,847 RV,3.4,46,43,Biden +3
Univision/ASUUnivision,3/6 - 3/11,1036 RV,3.0,50,42,Biden +8
OH Predictive InsightsPredictive Insights,3/3 - 3/4,600 LV,4.0,49,43,Biden +6
PPP (D)PPP (D),3/2 - 3/3,666 RV,3.8,48,47,Biden +1
PPP (D)PPP (D),1/2 - 1/4,760 RV,3.6,46,46,Tie
OH Predictive InsightsPredictive Insights,12/3 - 12/4,628 LV,3.9,44,46,Trump +2
EmersonEmerson,10/25 - 10/28,901 RV,3.2,50,50,Tie
NY Times/SienaNYT/Siena,10/13 - 10/23,652 LV,4.4,49,46,Biden +3
OH Predictive InsightsPredictive Insights,8/13 - 8/14,600 LV,4.0,45,43,Biden +2
OH Predictive InsightsPredictive Insights,5/1 - 5/2,600 LV,4.0,49,44,Biden +5
OH Predictive InsightsPredictive Insights,2/12 - 2/13,600 LV,4.0,46,46,Tie
