Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/10 - 10/22,--,--,48.6,47.1,Biden +1.5
St. Pete PollsSt. Pete Polls,10/21 - 10/22,2527 LV,2.0,49,47,Biden +2
Rasmussen ReportsRasmussen,10/20 - 10/21,800 LV,3.5,46,50,Trump +4
CNN*CNN*,10/15 - 10/20,847 LV,4.0,50,46,Biden +4
CNBC/Change Research (D)CNBC,10/16 - 10/19,547 LV,--,50,45,Biden +5
Reuters/IpsosReuters,10/14 - 10/20,662 LV,4.0,50,46,Biden +4
UNFUNF,10/12 - 10/16,863 LV,3.3,48,47,Biden +1
The Hill/HarrisXThe Hill,10/12 - 10/15,965 LV,--,48,48,Tie
Trafalgar Group (R)*Trafalgar (R)*,10/11 - 10/13,1051 LV,2.9,46,48,Trump +2
St. Pete PollsSt. Pete Polls,10/11 - 10/12,2215 LV,2.1,49,47,Biden +2
EmersonEmerson,10/10 - 10/12,690 LV,3.7,50,47,Biden +3
Reuters/IpsosReuters,10/7 - 10/14,653 LV,4.0,49,47,Biden +2
Mason-DixonMason-Dixon,10/8 - 10/12,625 LV,4.0,48,45,Biden +3
Florida Atlantic UniversityFAU,10/9 - 10/10,644 LV,3.8,51,47,Biden +4
FOX 35/InsiderAdvantage*FOX 35*,10/6 - 10/7,400 LV,4.9,43,46,Trump +3
Reuters/IpsosReuters,9/29 - 10/7,678 LV,4.3,49,45,Biden +4
CNBC/Change Research (D)CNBC,10/2 - 10/4,560 LV,--,50,46,Biden +4
QuinnipiacQuinnipiac,10/1 - 10/5,1256 LV,2.8,51,40,Biden +11
USA Today/Suffolk*USA Today*,10/1 - 10/4,500 LV,4.4,45,45,Tie
UNFUNF,10/1 - 10/4,3134 LV,1.8,51,45,Biden +6
NY Times/Siena*NYT/Siena*,9/30 - 10/1,710 LV,4.2,47,42,Biden +5
SusquehannaSusquehanna,9/23 - 9/26,500 LV,4.3,46,43,Biden +3
St. Pete PollsSt. Pete Polls,9/21 - 9/22,2906 LV,1.8,50,47,Biden +3
CNBC/Change Research (D)CNBC,9/18 - 9/20,702 LV,--,49,46,Biden +3
ABC News/Wash PostABC/WP,9/15 - 9/20,613 LV,4.5,47,51,Trump +4
CBS News/YouGovCBS News,9/15 - 9/18,1205 LV,--,48,46,Biden +2
Reuters/IpsosReuters,9/11 - 9/16,586 LV,4.6,47,47,Tie
Florida Atlantic UniversityFAU,9/11 - 9/12,631 RV,3.8,50,50,Tie
Monmouth*Monmouth*,9/10 - 9/13,428 LV,4.7,50,45,Biden +5
St. Pete PollsSt. Pete Polls,9/7 - 9/8,2689 LV,1.9,50,47,Biden +3
CNBC/Change Research (D)CNBC,9/4 - 9/6,LV,--,49,46,Biden +3
NBC News/MaristNBC/Marist,8/31 - 9/6,766 LV,4.5,48,48,Tie
Trafalgar Group (R)*Trafalgar (R)*,9/1 - 9/3,1022 LV,3.0,46,49,Trump +3
QuinnipiacQuinnipiac,8/28 - 9/1,1235 LV,2.8,48,45,Biden +3
CNBC/Change Research (D)CNBC,8/21 - 8/23,1262 LV,--,49,46,Biden +3
PPP (D)PPP (D),8/21 - 8/22,671 RV,3.8,48,44,Biden +4
CNBC/Change Research (D)CNBC,8/7 - 8/9,469 LV,--,50,44,Biden +6
CNBC/Change Research (D)CNBC,7/24 - 7/26,685 LV,--,48,45,Biden +3
Mason-DixonMason-Dixon,7/20 - 7/23,625 RV,4.0,50,46,Biden +4
CNNCNN,7/18 - 7/24,880 RV,3.8,51,46,Biden +5
QuinnipiacQuinnipiac,7/16 - 7/20,924 RV,3.2,51,38,Biden +13
St. Pete Polls*St. Pete Polls*,7/13 - 7/14,3018 LV,1.8,50,44,Biden +6
GravisGravis,7/13 - 7/13,529 RV,4.3,53,43,Biden +10
CNBC/Change Research (D)CNBC,7/10 - 7/12,1128 LV,--,50,43,Biden +7
