Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/8 - 10/21,--,--,47.2,46.4,Biden +0.8
WSB-TV/LandmarkWSB-TV,10/21 - 10/21,500 LV,4.4,45,49,Trump +4
EmersonEmerson,10/17 - 10/19,506 LV,4.3,47,48,Trump +1
NY Times/Siena*NYT/Siena*,10/13 - 10/19,759 LV,2.8,45,45,Tie
WXIA-TV/SurveyUSAWXIA/SUSA,10/8 - 10/12,677 LV,5.7,48,46,Biden +2
QuinnipiacQuinnipiac,10/8 - 10/12,1040 LV,3.0,51,44,Biden +7
PPP (D)PPP (D),10/8 - 10/9,528 LV,4.3,47,46,Biden +1
WSB-TV/Landmark*WSB-TV*,10/7 - 10/7,600 LV,4.0,47,49,Trump +2
Atlanta Journal-Constitution*AJC*,9/27 - 10/6,1106 LV,2.9,46,48,Trump +2
WSB-TV/Landmark*WSB-TV*,9/30 - 9/30,500 LV,4.0,47,45,Biden +2
QuinnipiacQuinnipiac,9/23 - 9/27,1125 LV,2.9,50,47,Biden +3
CBS News/YouGovCBS News,9/22 - 9/25,1142 LV,3.4,46,47,Trump +1
Monmouth*Monmouth*,9/17 - 9/21,402 LV,4.9,46,48,Trump +2
NY Times/Siena*NYT/Siena*,9/16 - 9/21,523 LV,4.9,45,45,Tie
Univ. of Georgia*U. of GA*,9/11 - 9/20,1150 LV,4.0,47,47,Tie
WSB-TV/Landmark*WSB-TV*,8/29 - 8/31,500 LV,4.4,41,48,Trump +7
WSB-TV/Landmark*WSB-TV*,8/14 - 8/15,500 LV,4.4,45,47,Trump +2
WXIA-TV/SurveyUSAWXIA/SUSA,8/6 - 8/8,623 LV,5.3,46,44,Biden +2
CBS News/YouGovCBS News,7/28 - 7/31,1109 LV,--,46,45,Biden +1
Monmouth*Monmouth*,7/23 - 7/27,402 LV,4.9,47,48,Trump +1
Trafalgar Group (R)*Trafalgar (R)*,7/15 - 7/18,1023 LV,3.0,43,50,Trump +7
OAN/GravisGravis,7/2 - 7/2,513 RV,4.3,45,48,Trump +3
FOX NewsFOX News,6/20 - 6/23,1013 RV,3.0,47,45,Biden +2
Univ. of GeorgiaU. of GA,2/24 - 3/2,1117 RV,2.9,43,51,Trump +8
Mason-DixonMason-Dixon,12/19 - 12/23,615 RV,4.0,44,51,Trump +7
WXIA-TV/SurveyUSAWXIA/SUSA,11/15 - 11/18,1303 LV,3.2,47,43,Biden +4
Atlanta Journal-ConstitutionAJC,10/30 - 11/8,1028 RV,3.0,51,43,Biden +8
