Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/6 - 10/21,--,--,47.2,46.4,Biden +0.8
EmersonEmerson,10/19 - 10/21,435 LV,4.7,46,48,Trump +2
NY Times/Siena*NYT/Siena*,10/18 - 10/20,753 LV,3.9,46,43,Biden +3
InsiderAdvantage*InsiderAdvantage*,10/18 - 10/19,400 LV,4.9,45,45,Tie
Monmouth*Monmouth*,10/15 - 10/19,501 LV,4.4,50,47,Biden +3
CBS News/YouGovCBS News,10/6 - 10/9,1035 LV,3.5,49,49,Tie
QuinnipiacQuinnipiac,10/1 - 10/5,1256 LV,2.8,50,45,Biden +5
WHO-TV 13WHO-TV 13,9/23 - 9/26,780 LV,4.0,48,46,Biden +2
Monmouth*Monmouth*,9/18 - 9/22,402 LV,4.9,46,49,Trump +3
NY Times/Siena*NYT/Siena*,9/16 - 9/21,501 LV,5.0,45,42,Biden +3
Des Moines RegisterDM Register,9/14 - 9/17,658 LV,3.8,47,47,Tie
Monmouth*Monmouth*,7/30 - 8/3,401 LV,4.9,46,48,Trump +2
Des Moines RegisterDM Register,6/7 - 6/10,674 LV,3.8,43,44,Trump +1
PPP (D)PPP (D),4/30 - 5/1,1222 RV,2.8,46,48,Trump +2
Des Moines RegisterDM Register,3/2 - 3/5,667 LV,3.8,41,51,Trump +10
NY Times/SienaNYT/Siena,1/20 - 1/23,1689 RV,2.8,44,46,Trump +2
PPP (D)PPP (D),12/29 - 12/31,964 RV,3.2,46,49,Trump +3
EmersonEmerson,12/7 - 12/10,1043 RV,3.0,45,49,Trump +4
NY Times/SienaNYT/Siena,10/25 - 10/30,1435 RV,3.1,44,45,Trump +1
EmersonEmerson,10/13 - 10/16,888 RV,3.2,49,51,Trump +2
EmersonEmerson,3/21 - 3/24,708 RV,3.6,53,47,Biden +6
EmersonEmerson,1/30 - 2/2,831 RV,3.4,51,49,Biden +2
