Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/11 - 10/20,--,--,50.4,42.6,Biden +7.8
FOX News*FOX News*,10/17 - 10/20,1032 LV,3.0,52,40,Biden +12
Reuters/IpsosReuters,10/14 - 10/20,686 LV,4.0,51,44,Biden +7
MIRS/Mitchell Research*MIRS*,10/18 - 10/18,900 LV,3.3,51,41,Biden +10
CNBC/Change Research (D)CNBC,10/16 - 10/19,718 LV,--,51,44,Biden +7
EPIC-MRAEPIC-MRA,10/15 - 10/19,600 LV,4.0,48,39,Biden +9
The Hill/HarrisXThe Hill,10/12 - 10/15,1289 LV,--,54,43,Biden +11
Trafalgar Group (R)*Trafalgar (R)*,10/11 - 10/14,1025 LV,3.0,46,47,Trump +1
EPIC-MRAEPIC-MRA,10/8 - 10/12,600 LV,4.0,48,39,Biden +9
Reuters/IpsosReuters,10/7 - 10/13,620 LV,5.0,51,43,Biden +8
NY Times/Siena*NYT/Siena*,10/6 - 10/11,614 LV,4.6,48,40,Biden +8
CBS News/YouGovCBS News,10/6 - 10/9,1190 LV,3.3,52,46,Biden +6
EmersonEmerson,10/6 - 10/7,716 LV,3.6,52,42,Biden +10
CNBC/Change Research (D)CNBC,10/2 - 10/4,676 LV,--,51,43,Biden +8
Reuters/IpsosReuters,9/29 - 10/6,709 LV,4.0,51,43,Biden +8
Detroit News/WDIV-TVDetroit News,9/30 - 10/3,600 LV,4.0,48,39,Biden +9
Trafalgar Group (R)*Trafalgar (R)*,9/20 - 9/22,1015 LV,3.0,46,47,Trump +1
NBC News/MaristNBC/Marist,9/19 - 9/22,799 LV,4.3,52,44,Biden +8
CNBC/Change Research (D)CNBC,9/18 - 9/20,568 LV,--,51,43,Biden +8
MRGMRG,9/14 - 9/19,600 LV,4.0,46,41,Biden +5
Univ. of Wis/YouGovUW/YouGov,9/10 - 9/21,641 LV,--,51,45,Biden +6
Reuters/IpsosReuters,9/11 - 9/16,637 LV,4.4,49,44,Biden +5
EPIC-MRAEPIC-MRA,9/10 - 9/15,600 LV,4.0,48,40,Biden +8
CNBC/Change Research (D)CNBC,9/4 - 9/6,LV,--,49,43,Biden +6
Rasmussen ReportsRasmussen,9/2 - 9/3,1000 LV,3.0,51,43,Biden +8
Detroit News/WDIV-TVDetroit News,9/1 - 9/3,600 LV,4.0,47,42,Biden +5
CNBC/Change Research (D)CNBC,8/21 - 8/23,809 LV,--,50,44,Biden +6
Trafalgar Group (R)Trafalgar,8/14 - 8/23,1048 LV,3.0,45,47,Trump +2
CNBC/Change Research (D)CNBC,8/7 - 8/9,413 LV,--,48,43,Biden +5
Univ. of Wis/YouGovUW/YouGov,7/26 - 8/6,761 RV,5.1,47,43,Biden +4
EPIC-MRA*EPIC-MRA*,7/25 - 7/30,600 LV,4.0,51,40,Biden +11
CNBC/Change Research (D)CNBC,7/24 - 7/26,382 LV,--,46,42,Biden +4
CBS News/YouGovCBS News,7/21 - 7/24,1156 LV,3.4,48,42,Biden +6
GravisGravis,7/22 - 7/22,754 RV,3.6,51,42,Biden +9
CNNCNN,7/18 - 7/24,927 RV,3.8,52,40,Biden +12
FOX NewsFOX News,7/18 - 7/20,756 RV,3.5,49,40,Biden +9
CNBC/Change Research (D)CNBC,7/10 - 7/12,824 LV,--,48,42,Biden +6
CNBC/Change Research (D)CNBC,6/26 - 6/28,699 LV,--,48,43,Biden +5
Trafalgar Group (R)Trafalgar,6/16 - 6/18,1101 LV,3.0,46,45,Biden +1
CNBC/Change Research (D)CNBC,6/12 - 6/14,353 LV,--,47,45,Biden +2
NY Times/SienaNYT/Siena,6/8 - 6/17,610 RV,4.3,47,36,Biden +11
TIPPTIPP,6/9 - 6/12,859 LV,--,51,38,Biden +13
EPIC-MRAEPIC-MRA,5/31 - 6/4,600 LV,4.0,55,39,Biden +16
EPIC-MRAEPIC-MRA,5/30 - 6/3,600 LV,4.0,53,41,Biden +12
CNBC/Change Research (D)CNBC,5/29 - 5/31,620 LV,--,48,46,Biden +2
Change Research (D)Change Res.,5/11 - 5/17,3070 LV,1.9,49,46,Biden +3
FOX NewsFOX News,4/18 - 4/21,801 RV,3.5,49,41,Biden +8
MRGMRG,3/16 - 3/20,600 LV,4.0,44,41,Biden +3
Yahoo News/YouGovYouGov,3/6 - 3/8,RV,--,45,41,Biden +4
MonmouthMonmouth,3/5 - 3/8,977 RV,3.1,48,41,Biden +7
Univ. of Wis/YouGovUW/YouGov,2/11 - 2/20,1249 LV,3.0,47,43,Biden +4
QuinnipiacQuinnipiac,2/12 - 2/18,845 RV,3.4,47,43,Biden +4
EPIC-MRAEPIC-MRA,1/9 - 1/12,600 LV,4.0,50,44,Biden +6
Detroit News/WDIV-TVDetroit News,1/3 - 1/7,600 LV,4.0,50,43,Biden +7
EmersonEmerson,10/31 - 11/3,1051 RV,3.0,56,44,Biden +12
NY Times/SienaNYT/Siena,10/13 - 10/25,501 LV,5.1,45,44,Biden +1
EPIC-MRAEPIC-MRA,8/17 - 8/21,600 LV,4.0,51,41,Biden +10
EPIC-MRAEPIC-MRA,6/8 - 6/12,600 LV,4.0,52,41,Biden +11
Detroit News/WDIV-TVDetroit News,5/28 - 5/30,600 LV,4.0,53,41,Biden +12
EmersonEmerson,3/7 - 3/10,743 RV,3.5,54,46,Biden +8
Detroit News/WDIV-TVDetroit News,1/24 - 1/26,600 LV,4.0,53,40,Biden +13
EPIC-MRAEPIC-MRA,4/28 - 4/30,600 RV,4.0,52,39,Biden +13
