Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,9/20 - 10/20,--,--,48.0,42.0,Biden +6.0
KSTP/SurveyUSAKSTP-TV,10/16 - 10/20,625 LV,5.0,48,42,Biden +6
MinnPost*MinnPost*,10/12 - 10/15,1021 LV,3.1,49,44,Biden +5
KSTP/SurveyUSAKSTP-TV,10/1 - 10/6,929 LV,3.9,47,40,Biden +7
Star Tribune/Mason-DixonStar Tribune,9/21 - 9/23,800 LV,3.5,48,42,Biden +6
USA Today/Suffolk*USA Today*,9/20 - 9/24,500 LV,4.4,47,40,Biden +7
ABC News/Wash PostABC/WP,9/8 - 9/13,615 LV,4.5,57,41,Biden +16
CBS News/YouGovCBS News,9/9 - 9/11,1087 LV,3.9,50,41,Biden +9
NY Times/Siena*NYT/Siena*,9/8 - 9/10,814 LV,3.9,50,41,Biden +9
KSTP/SurveyUSAKSTP-TV,9/4 - 9/7,553 LV,5.2,49,40,Biden +9
PPP (D)PPP (D),9/3 - 9/4,877 RV,3.3,52,44,Biden +8
Trafalgar Group (R)*Trafalgar (R)*,8/15 - 8/18,1141 LV,3.0,47,47,Tie
EmersonEmerson,8/8 - 8/10,733 RV,3.6,50,47,Biden +3
Trafalgar Group (R)*Trafalgar (R)*,7/23 - 7/25,1129 LV,2.8,49,44,Biden +5
FOX NewsFOX News,7/18 - 7/20,776 RV,3.5,51,38,Biden +13
GravisGravis,6/19 - 6/19,600 RV,4.0,58,42,Biden +16
Star Tribune/Mason-DixonStar Tribune,5/18 - 5/20,800 RV,3.5,49,44,Biden +5
Star Tribune/Mason-DixonStar Tribune,10/14 - 10/16,800 RV,3.5,50,38,Biden +12
