Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/12 - 10/21,--,--,49.2,47.7,Biden +1.5
Rasmussen ReportsRasmussen,10/20 - 10/21,800 LV,3.5,48,49,Trump +1
Reuters/IpsosReuters,10/14 - 10/20,660 LV,4.0,49,46,Biden +3
CNBC/Change Research (D)CNBC,10/16 - 10/19,LV,--,50,47,Biden +3
East Carolina U.ECU,10/15 - 10/18,1155 LV,3.4,50,47,Biden +3
EmersonEmerson,10/13 - 10/14,721 LV,3.6,49,49,Tie
ABC News/Wash Post*ABC News/Wash Post*,10/12 - 10/17,646 LV,4.5,49,48,Biden +1
NY Times/Siena*NYT/Siena*,10/9 - 10/13,627 LV,4.5,46,42,Biden +4
Reuters/IpsosReuters,10/7 - 10/13,660 LV,4.0,48,47,Biden +1
Monmouth*Monmouth*,10/8 - 10/11,500 LV,4.4,50,46,Biden +4
WRAL-TV/SurveyUSAWRAL-TV,10/8 - 10/11,669 LV,4.8,50,45,Biden +5
SusquehannaSusquehanna,10/7 - 10/11,500 LV,4.3,48,46,Biden +2
PPP (D)PPP (D),10/4 - 10/5,911 LV,3.3,50,46,Biden +4
East Carolina U.ECU,10/2 - 10/4,1232 LV,3.2,50,46,Biden +4
CNBC/Change Research (D)CNBC,10/2 - 10/4,396 LV,--,49,47,Biden +2
Reuters/IpsosReuters,9/29 - 10/6,693 LV,4.0,47,47,Tie
CBS News/YouGovCBS News,9/22 - 9/25,1194 LV,3.6,48,46,Biden +2
UMass LowellUMLowell,9/18 - 9/25,921 LV,4.1,48,49,Trump +1
CNBC/Change Research (D)CNBC,9/18 - 9/20,579 LV,--,48,46,Biden +2
Civitas/Harper (R)*Civitas,9/17 - 9/20,612 LV,4.0,44,45,Trump +1
EmersonEmerson,9/16 - 9/18,717 LV,3.6,50,49,Biden +1
Reuters/IpsosReuters,9/11 - 9/16,586 LV,4.6,47,47,Tie
NY Times/Siena*NYT/Siena*,9/11 - 9/16,653 LV,4.3,45,44,Biden +1
USA Today/Suffolk*USA Today*,9/11 - 9/14,500 LV,4.4,46,43,Biden +3
WRAL-TV/SurveyUSAWRAL-TV,9/10 - 9/13,596 LV,5.6,47,47,Tie
CNN*CNN*,9/9 - 9/13,787 LV,4.4,49,46,Biden +3
Trafalgar Group (R)*Trafalgar (R)*,9/9 - 9/11,1046 LV,3.0,46,48,Trump +2
Rasmussen ReportsRasmussen,9/7 - 9/8,1000 LV,3.0,46,48,Trump +2
CNBC/Change Research (D)CNBC,9/4 - 9/6,LV,--,49,47,Biden +2
Monmouth*Monmouth*,8/29 - 9/1,401  RV,4.9,48,46,Biden +2
FOX News*FOX News*,8/29 - 9/1,722 LV,3.5,50,46,Biden +4
East Carolina U.ECU,8/29 - 8/30,1101 LV,3.4,47,49,Trump +2
CNBC/Change Research (D)CNBC,8/21 - 8/23,560 LV,--,48,47,Biden +1
East Carolina U.ECU,8/12 - 8/13,1255 RV,3.2,47,47,Tie
EmersonEmerson,8/8 - 8/10,673 LV,3.8,46,48,Trump +2
CNBC/Change Research (D)CNBC,8/7 - 8/9,491 LV,--,47,48,Trump +1
Civitas/Harper (R)*Civitas,8/6 - 8/10,600 LV,4.0,45,44,Biden +1
Rasmussen ReportsRasmussen,8/6 - 8/7,750 LV,4.0,47,48,Trump +1
CBS News/YouGovCBS News,7/28 - 7/31,1129 LV,3.9,48,44,Biden +4
CNBC/Change Research (D)CNBC,7/24 - 7/26,284 LV,--,49,46,Biden +3
NBC News/MaristNBC/Marist,7/14 - 7/22,882 RV,4.0,51,44,Biden +7
CNBC/Change Research (D)CNBC,7/10 - 7/12,655 LV,--,47,46,Biden +1
PPP (D)PPP (D),7/7 - 7/8,881 RV,3.4,50,46,Biden +4
CNBC/Change Research (D)CNBC,6/26 - 6/28,597 LV,3.9,51,44,Biden +7
East Carolina U.ECU,6/22 - 6/25,1149 RV,3.4,45,44,Biden +1
PPP (D)PPP (D),6/22 - 6/23,1230 RV,2.9,48,46,Biden +2
FOX NewsFOX News,6/20 - 6/23,1012 RV,3.0,47,45,Biden +2
GravisGravis,6/17 - 6/17,631 RV,3.9,43,46,Trump +3
CNBC/Change Research (D)CNBC,6/12 - 6/14,378 LV,--,47,45,Biden +2
NY Times/SienaNYT/Siena,6/8 - 6/18,653 RV,4.1,49,40,Biden +9
PPP (D)PPP (D),6/2 - 6/3,949 RV,3.2,49,45,Biden +4
CNBC/Change Research (D)CNBC,5/29 - 5/31,806 LV,--,46,45,Biden +1
Civitas/Harper (R)Civitas,5/26 - 5/28,500 LV,4.4,44,47,Trump +3
East Carolina U.ECU,5/7 - 5/9,1111 RV,3.4,43,46,Trump +3
WRAL-TV/SurveyUSAWRAL-TV,4/23 - 4/26,580 LV,5.5,50,45,Biden +5
PPP (D)PPP (D),4/14 - 4/15,1318 RV,2.7,48,47,Biden +1
Civitas/Harper (R)Civitas,4/5 - 4/7,500 LV,4.4,42,49,Trump +7
East Carolina U.ECU,2/27 - 2/28,1288 RV,3.2,48,46,Biden +2
NBC News/MaristNBC/Marist,2/23 - 2/27,1733 RV,2.9,49,45,Biden +4
WRAL-TV/SurveyUSAWRAL-TV,2/13 - 2/16,2366 RV,2.5,49,45,Biden +4
FOX NewsFOX News,11/10 - 11/13,1504 RV,2.5,45,43,Biden +2
NY Times/SienaNYT/Siena,10/13 - 10/26,651 LV,4.4,46,48,Trump +2
East Carolina U.ECU,10/2 - 10/9,1076 RV,3.0,50,46,Biden +4
PPP (D)PPP (D),10/4 - 10/6,963 RV,3.2,51,46,Biden +5
Civitas/SurveyUSACivitas/SurveyUSA,8/1 - 8/5,2113 RV,2.7,49,41,Biden +8
PPP (D)PPP (D),6/17 - 6/18,610 RV,4.0,49,46,Biden +3
EmersonEmerson,5/31 - 6/3,932 RV,3.1,56,44,Biden +12
Civitas/Harper (R)Civitas,2/11 - 2/13,500 LV,4.4,39,43,Trump +4
PPP (D)PPP (D),1/4 - 1/7,750 RV,3.6,49,44,Biden +5
