Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,9/23 - 10/12,--,--,53.4,42.4,Biden +11.0
UNH*UNH*,10/9 - 10/12,899 LV,3.3,55,43,Biden +12
Boston Globe/Suffolk*Boston Globe*,10/8 - 10/12,500 LV,4.4,51,41,Biden +10
St. AnselmSt. Anselm,10/1 - 10/4,1147 LV,2.9,53,41,Biden +12
EmersonEmerson,9/30 - 10/1,700 LV,3.6,52,45,Biden +7
UNH*UNH*,9/24 - 9/28,972 LV,3.1,53,44,Biden +9
Rasmussen ReportsRasmussen,9/23 - 9/25,850 LV,4.0,56,42,Biden +14
UMass LowellUMLowell,9/17 - 9/25,657 LV,4.6,53,44,Biden +9
NY Times/Siena*NYT/Siena*,9/8 - 9/11,445 LV,5.5,45,42,Biden +3
St. AnselmSt. Anselm,8/15 - 8/17,1042 RV,3.0,51,43,Biden +8
UNHUNH,7/16 - 7/28,1893 LV,--,53,40,Biden +13
St. AnselmSt. Anselm,6/13 - 6/16,1072 RV,3.0,49,42,Biden +7
UNHUNH,6/18 - 6/22,936 LV,--,52,39,Biden +13
UNHUNH,5/14 - 5/18,790 LV,--,44,46,Trump +2
St. AnselmSt. Anselm,4/23 - 4/27,820 RV,3.4,50,42,Biden +8
UNHUNH,2/19 - 2/25,576 LV,4.1,44,46,Trump +2
NBC News/MaristNBC/Marist,1/20 - 1/23,2223 RV,2.6,51,43,Biden +8
WHDH/EmersonEmerson,11/22 - 11/26,547 RV,4.2,52,48,Biden +4
St. AnselmSt. Anselm,11/13 - 11/18,512 RV,4.3,51,43,Biden +8
EmersonEmerson,9/6 - 9/9,1041 RV,2.9,55,45,Biden +10
EmersonEmerson,2/21 - 2/22,910 RV,3.2,55,45,Biden +10
