Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,9/20 - 10/11,--,--,49.0,43.8,Biden +5.2
Las Vegas Review-Journal*LVRJ*,10/7 - 10/11,512 LV,4.4,44,42,Biden +2
CBS News/YouGovCBS News,10/6 - 10/9,1036 LV,4.1,52,46,Biden +6
NY Times/Siena*NYT/Siena*,10/2 - 10/6,660 LV,4.3,48,42,Biden +6
Rasmussen ReportsRasmussen,9/23 - 9/25,750 LV,--,49,48,Biden +1
FOX NewsFOX News,9/20 - 9/23,911 LV,3.0,52,41,Biden +11
NY Times/Siena*NYT/Siena*,9/8 - 9/10,462 LV,5.3,46,42,Biden +4
FOX NewsFOX News,1/5 - 1/8,1505 RV,2.5,47,39,Biden +8
FOX NewsFOX News,11/10 - 11/13,1506 RV,2.5,47,40,Biden +7
EmersonEmerson,10/31 - 11/2,1089 RV,2.9,49,51,Trump +2
GravisGravis,8/14 - 8/16,926 RV,3.2,49,43,Biden +6
EmersonEmerson,3/28 - 3/30,719 RV,3.6,52,48,Biden +4
