Poll,Date,Sample,MoE,Trump (R),Biden (D),Spread
RCP Average,9/30 - 10/20,--,--,46.8,46.2,Trump +0.6
FOX News*FOX News*,10/17 - 10/20,1018 LV,3.0,48,45,Trump +3
Rasmussen ReportsRasmussen,10/18 - 10/19,800 LV,3.5,47,48,Biden +1
QuinnipiacQuinnipiac,10/8 - 10/12,1160 LV,2.9,47,48,Biden +1
NY Times/Siena*NYT/Siena*,10/2 - 10/6,661 LV,4.3,44,45,Biden +1
Trafalgar Group (R)*Trafalgar (R)*,10/1 - 10/3,1035 LV,3.0,48,44,Trump +4
CBS News/YouGovCBS News,9/30 - 10/2,1114 LV,3.7,47,47,Tie
FOX NewsFOX News,9/20 - 9/23,830 LV,3.0,45,50,Biden +5
QuinnipiacQuinnipiac,9/17 - 9/21,1085 LV,3.0,47,48,Biden +1
Rasmussen ReportsRasmussen,9/1 - 9/2,1000 LV,3.0,45,49,Biden +4
CBS News/YouGovCBS News,7/21 - 7/24,1211 LV,--,46,45,Trump +1
Rasmussen ReportsRasmussen,7/15 - 7/16,750 LV,3.5,46,50,Biden +4
Ohio Media CollaborativeOhio Media,6/24 - 7/15,1037 RV,3.0,42,46,Biden +4
QuinnipiacQuinnipiac,6/18 - 6/22,1139 RV,2.9,45,46,Biden +1
FOX NewsFOX News,5/30 - 6/2,803 RV,3.5,43,45,Biden +2
EmersonEmerson,5/8 - 5/10,725 RV,3.5,46,43,Trump +3
NBC News/MaristNBC/Marist,3/10 - 3/15,1710 RV,2.9,45,49,Biden +4
EmersonEmerson,9/29 - 10/2,837 RV,3.2,47,53,Biden +6
QuinnipiacQuinnipiac,7/17 - 7/22,1431 RV,3.2,42,50,Biden +8
