Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/10 - 10/20,--,--,49.6,44.5,Biden +5.1
FOX News*FOX News*,10/17 - 10/20,1045 LV,3.0,50,45,Biden +5
Rasmussen ReportsRasmussen,10/18 - 10/19,800 LV,3.5,50,47,Biden +3
CNBC/Change Research (D)CNBC,10/16 - 10/19,LV,--,49,47,Biden +2
QuinnipiacQuinnipiac,10/16 - 10/19,1241 LV,2.8,51,43,Biden +8
CNN*CNN*,10/15 - 10/20,843 LV,4.0,53,43,Biden +10
Morning CallMorning Call,10/13 - 10/20,416 LV,5.5,51,44,Biden +7
USA Today/Suffolk*USA Today*,10/15 - 10/19,500 LV,4.4,49,42,Biden +7
Reuters/IpsosReuters,10/13 - 10/19,653 LV,4.0,49,45,Biden +4
The Hill/HarrisXThe Hill,10/12 - 10/15,992 LV,--,51,46,Biden +5
InsiderAdvantage*InsiderAdvantage*,10/12 - 10/13,400 LV,4.9,46,43,Biden +3
Trafalgar Group (R)*Trafalgar (R)*,10/10 - 10/12,1034 LV,3.0,47,45,Biden +2
Reuters/IpsosReuters,10/6 - 10/11,622 LV,5.0,51,44,Biden +7
EmersonEmerson,10/4 - 10/5,688 LV,3.7,50,45,Biden +5
CNBC/Change Research (D)CNBC,10/2 - 10/4,468 LV,--,50,46,Biden +4
QuinnipiacQuinnipiac,10/1 - 10/5,1211 LV,2.8,54,41,Biden +13
Reuters/IpsosReuters,9/29 - 10/5,605 LV,5.0,50,45,Biden +5
Monmouth*Monmouth*,9/30 - 10/4,500 LV,4.4,54,43,Biden +11
CBS News/YouGovCBS News,9/30 - 10/2,1187 LV,3.2,51,44,Biden +7
NY Times/Siena*NYT/Siena*,9/30 - 10/2,706 LV,4.1,49,42,Biden +7
NY Times/SienaNYT/Siena,9/25 - 9/27,711 LV,4.3,49,40,Biden +9
TIPPTIPP,9/24 - 9/26,774 LV,3.6,50,45,Biden +5
ABC News/Wash PostABC/WP,9/21 - 9/26,567 LV,4.5,54,45,Biden +9
FOX NewsFOX News,9/20 - 9/23,856 LV,3.0,51,44,Biden +7
