Poll,Date,Sample,MoE,Trump (R),Biden (D),Spread
RCP Average,9/18 - 10/19,--,--,49.5,45.5,Trump +4.0
QuinnipiacQuinnipiac,10/16 - 10/19,1145 LV,2.9,47,47,Tie
Rasmussen ReportsRasmussen,10/5 - 10/6,1000 LV,3.0,51,44,Trump +7
UT/Texas Tribune*UT/Texas Tribune*,9/25 - 10/4,908 LV,4.1,50,45,Trump +5
UMass LowellUMLowell,9/18 - 9/25,882 LV,4.3,50,46,Trump +4
QuinnipiacQuinnipiac,9/17 - 9/21,1078 LV,3.0,50,45,Trump +5
NY Times/Siena*NYT/Siena*,9/16 - 9/21,653 LV,4.3,46,43,Trump +3
CBS News/YouGovCBS News,9/15 - 9/18,1205 LV,3.5,48,46,Trump +2
Dallas Morning News*DMN*,8/28 - 9/2,901 LV,3.3,48,46,Trump +2
Rice Univ./YouGov*YouGov*,8/4 - 8/13,846 RV,--,48,41,Trump +7
Trafalgar Group (R)*Trafalgar (R)*,8/1 - 8/5,1015 LV,3.0,49,43,Trump +6
QuinnipiacQuinnipiac,7/16 - 7/20,880 RV,3.3,44,45,Biden +1
CBS News/YouGovCBS News,7/7 - 7/10,1212 RV,3.3,46,45,Trump +1
OAN/GravisGravis,7/7 - 7/7,591 LV,4.3,46,44,Trump +2
Dallas Morning NewsDMN,6/29 - 7/7,1677 LV,2.4,43,48,Biden +5
University of TexasUniversity of Texas,6/19 - 6/29,1200 RV,2.8,48,44,Trump +4
FOX NewsFOX News,6/20 - 6/23,1001 RV,3.0,44,45,Biden +1
QuinnipiacQuinnipiac,5/28 - 6/1,1166 RV,2.9,44,43,Trump +1
EmersonEmerson,5/8 - 5/10,800 RV,3.4,47,41,Trump +6
PPP (D)PPP (D),4/27 - 4/28,1032 RV,--,46,47,Biden +1
Dallas Morning NewsDMN,4/18 - 4/27,1183 RV,2.9,43,43,Tie
UT/Texas TribuneUT/ TX Tribune,4/10 - 4/19,1200 RV,2.8,49,44,Trump +5
NBC News/MaristNBC/Marist,2/23 - 2/27,2409 RV,2.5,49,45,Trump +4
CNNCNN,2/22 - 2/26,1003 RV,3.0,47,48,Biden +1
Dallas Morning NewsDMN,2/17 - 2/26,1221 RV,2.8,45,44,Trump +1
UT/Texas TribuneUT/ TX Tribune,1/31 - 2/9,1200 RV,2.8,47,43,Trump +4
Dallas Morning NewsDMN,1/21 - 1/30,915 LV,3.2,46,44,Trump +2
Texas LyceumTexas Lyceum,1/10 - 1/19,520 LV,4.3,51,46,Trump +5
CNNCNN,12/4 - 12/8,1003 RV,3.7,48,47,Trump +1
UT/Texas TribuneUT/ TX Tribune,10/18 - 10/27,1200 LV,2.8,46,39,Trump +7
DMN/EmersonDMN/Emerson,8/1 - 8/3,1033 RV,3.0,49,51,Biden +2
QuinnipiacQuinnipiac,5/29 - 6/4,1159 RV,3.4,44,48,Biden +4
EmersonEmerson,4/25 - 4/28,799 RV,3.4,49,50,Biden +1
QuinnipiacQuinnipiac,2/20 - 2/25,1222 RV,3.4,47,46,Trump +1
