Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
Washington PostWash Post,10/13 - 10/19,908 LV,4.0,52,41,Biden +11
Roanoke College*Roanoke College*,9/30 - 10/12,602 LV,5.4,54,39,Biden +15
Christopher Newport Univ.CNU,9/9 - 9/21,796 LV,3.3,48,43,Biden +5
VCUVCU,8/28 - 9/7,693 LV,6.2,53,39,Biden +14
Roanoke CollegeRoanoke,8/9 - 8/22,566 LV,4.1,53,39,Biden +14
VCUVCU,7/11 - 7/19,725 LV,6.2,50,39,Biden +11
Roanoke CollegeRoanoke,5/3 - 5/17,563 LV,4.1,51,39,Biden +12
VCUVCU,3/25 - 4/8,663 LV,5.7,51,41,Biden +10
Hampton UniversityHampton University,2/25 - 2/28,768 RV,3.8,45,38,Biden +7
Roanoke CollegeRoanoke,2/9 - 2/18,520 LV,4.3,48,40,Biden +8
Mason-DixonMason-Dixon,12/12 - 12/16,625 RV,4.0,49,45,Biden +4
Univ. of Mary WashingtonUMW,9/3 - 9/15,882 RV,3.3,55,38,Biden +17
