Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
RCP Average,10/13 - 10/20,--,--,49.3,44.7,Biden +4.6
FOX News*FOX News*,10/17 - 10/20,1037 LV,3.0,49,44,Biden +5
Susquehanna*Susquehanna*,10/16 - 10/19,500 LV,4.3,45,45,Tie
CNBC/Change Research (D)CNBC,10/16 - 10/19,LV,--,52,44,Biden +8
Trafalgar Group (R)*Trafalgar (R)*,10/14 - 10/16,1051 LV,2.9,48,46,Biden +2
Reuters/IpsosReuters,10/13 - 10/19,663 LV,4.0,51,43,Biden +8
CBS News/YouGovCBS News,10/13 - 10/16,1112 LV,3.5,51,46,Biden +5
Reuters/IpsosReuters,10/6 - 10/11,511 LV,5.0,51,44,Biden +7
NY Times/Siena*NYT/Siena*,10/6 - 10/11,789 LV,4.0,51,41,Biden +10
CNBC/Change Research (D)CNBC,10/2 - 10/4,442 LV,--,51,44,Biden +7
Marquette*Marquette*,9/30 - 10/4,700 LV,4.2,46,41,Biden +5
Reuters/IpsosReuters,9/29 - 10/5,601 LV,5.0,50,44,Biden +6
SusquehannaSusquehanna,9/23 - 9/26,500 LV,4.3,48,46,Biden +2
Trafalgar Group (R)*Trafalgar (R)*,9/22 - 9/24,1189 LV,2.8,48,45,Biden +3
NBC News/MaristNBC/Marist,9/20 - 9/24,727 LV,4.6,54,44,Biden +10
CNBC/Change Research (D)CNBC,9/18 - 9/20,571 LV,--,51,42,Biden +9
Univ. of Wis/YouGovUW/YouGov,9/10 - 9/21,664 LV,--,50,46,Biden +4
Reuters/IpsosReuters,9/11 - 9/16,609 LV,4.5,48,43,Biden +5
ABC News/Wash PostABC/WP,9/8 - 9/13,605 LV,4.5,52,46,Biden +6
CNN*CNN*,9/9 - 9/13,816 LV,4.2,52,42,Biden +10
NY Times/Siena*NYT/Siena*,9/8 - 9/10,760 LV,4.7,48,43,Biden +5
EmersonEmerson,9/6 - 9/8,823 LV,3.4,51,44,Biden +7
CNBC/Change Research (D)CNBC,9/4 - 9/6,LV,--,50,44,Biden +6
CBS News/YouGovCBS News,9/2 - 9/4,978 LV,--,50,44,Biden +6
Rasmussen ReportsRasmussen,9/1 - 9/2,1000 LV,3.0,51,43,Biden +8
Marquette*Marquette*,8/30 - 9/3,688 LV,--,47,43,Biden +4
FOX News*FOX News*,8/29 - 9/1,801 LV,3.5,50,42,Biden +8
CNBC/Change Research (D)CNBC,8/21 - 8/23,925 LV,--,49,44,Biden +5
Trafalgar Group (R)*Trafalgar (R)*,8/14 - 8/23,1011 LV,3.0,45,46,Trump +1
CNBC/Change Research (D)CNBC,8/7 - 8/9,384 LV,--,47,43,Biden +4
MarquetteMarquette,8/4 - 8/9,694 LV,4.2,50,46,Biden +4
CBS News/YouGovCBS News,8/4 - 8/7,1211 LV,3.8,48,42,Biden +6
Rasmussen ReportsRasmussen,8/5 - 8/6,750 LV,--,55,43,Biden +12
Univ. of Wis/YouGovUW/YouGov,7/26 - 8/6,734 RV,4.9,49,43,Biden +6
CNBC/Change Research (D)CNBC,7/24 - 7/26,392 LV,--,48,43,Biden +5
GravisGravis,7/22 - 7/22,796 RV,3.5,50,42,Biden +8
CNBC/Change Research (D)CNBC,7/10 - 7/12,601 LV,--,48,42,Biden +6
CNBC/Change Research (D)CNBC,6/26 - 6/28,502 LV,--,51,43,Biden +8
Trafalgar Group (R)Trafalgar,6/23 - 6/25,1021 LV,3.0,45,46,Trump +1
MarquetteMarquette,6/14 - 6/18,805 RV,4.3,49,41,Biden +8
CNBC/Change Research (D)CNBC,6/12 - 6/14,231 LV,--,48,44,Biden +4
NY Times/SienaNYT/Siena,6/8 - 6/15,655 RV,4.3,49,38,Biden +11
FOX NewsFOX News,5/30 - 6/2,801 RV,3.5,49,40,Biden +9
CNBC/Change Research (D)CNBC,5/29 - 5/31,382 LV,--,45,45,Tie
MarquetteMarquette,5/3 - 5/7,811 RV,4.0,46,43,Biden +3
MarquetteMarquette,3/24 - 3/29,813 RV,4.2,48,45,Biden +3
PPP (D)PPP (D),3/10 - 3/11,1727 RV,2.4,48,45,Biden +3
Yahoo News/YouGovYouGov,3/6 - 3/8,RV,--,44,42,Biden +2
MarquetteMarquette,2/19 - 2/23,1000 RV,3.6,46,46,Tie
Univ. of Wis/YouGovUW/YouGov,2/11 - 2/20,936 RV,4.0,45,43,Biden +2
QuinnipiacQuinnipiac,2/12 - 2/18,823 RV,3.4,42,49,Trump +7
MarquetteMarquette,1/8 - 1/12,800 RV,4.1,49,45,Biden +4
FOX NewsFOX News,1/5 - 1/8,1504 RV,2.5,46,41,Biden +5
MarquetteMarquette,12/3 - 12/8,800 RV,4.1,47,46,Biden +1
MarquetteMarquette,11/13 - 11/17,801 RV,4.1,44,47,Trump +3
NY Times/SienaNYT/Siena,10/13 - 10/26,651 LV,4.4,46,44,Biden +2
MarquetteMarquette,10/13 - 10/17,799 RV,4.2,50,44,Biden +6
FOX NewsFOX News,9/29 - 10/2,1512 RV,2.5,48,39,Biden +9
MarquetteMarquette,8/25 - 8/29,800 RV,3.9,51,42,Biden +9
EmersonEmerson,3/15 - 3/17,775 RV,3.5,54,46,Biden +8
