State,Estimated or Actual 2018 Total Ballots Counted VEP Turnout Rate,Estimated or Actual 2018 Vote for Highest Office VEP Turnout Rate,Status,Source,Estimated or Actual 2018 Total Ballots Counted,2018 Vote for Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Minnesota,64.20%,63.90%,Certified,https://electionresults.sos.state.mn.us/20181106,"2,611,365","2,596,879","4,064,389","4,335,998",4.60%,"10,158","96,852","7,075","72,439",,MN
Colorado,63.00%,61.50%,Certified,https://results.enr.clarityelections.com/CO/91808/Web02-state.220747/#/,"2,583,580","2,525,062","4,103,903","4,445,013",7.00%,"18,576",0,"10,186","28,762",,CO
Montana,62.00%,61.40%,Official,https://sosmt.gov/wp-content/uploads/2018GeneralReportStateCanvass.pdf,"509,213","504,384","821,710","835,371",1.20%,"3,795",0,0,"3,795",,MT
Wisconsin,61.70%,61.60%,Certified,https://elections.wi.gov/node/6300,"2,675,000","2,673,308","4,337,051","4,549,459",3.20%,"22,889","44,489","20,401","68,649",,WI
Oregon,61.50%,60.00%,Official,https://sos.oregon.gov/voting/Pages/current-election.aspx,"1,914,923","1,866,997","3,113,178","3,339,282",6.30%,"15,166",0,0,"15,166",,OR
Maine,60.20%,59.10%,Certified,https://www.maine.gov/sos/cec/elec/results/index.html,"646,013","634,409","1,073,006","1,092,942",1.80%,0,0,0,0,,ME
Washington,58.90%,58.10%,Final,https://results.vote.wa.gov/results/current/,"3,133,448","3,086,168","5,316,196","5,903,135",8.60%,"18,335","89,317","11,322","80,568",,WA
North Dakota,58.60%,57.80%,Official,https://results.sos.nd.gov/Default.aspx?map=Cty,"330,598","326,138","564,114","578,460",2.20%,"1,791",0,0,"1,791",,ND
Michigan,57.80%,56.60%,Official,https://mielections.us/election/results/2018GEN_CENR.html,"4,341,340","4,250,585","7,513,813","7,841,291",3.70%,"40,502",0,0,"40,502",,MI
Iowa,57.70%,57.40%,Certified,https://results.enr.clarityelections.com/IA/91323/Web02-state.220747/#/,"1,334,279","1,327,638","2,312,204","2,431,468",3.60%,"8,888","29,254","6,051","31,614",,IA
Vermont,55.90%,55.10%,Official,https://vtelectionresults.sec.state.vt.us/Index.html#/,"278,230","274,087","497,750","508,992",2.20%,0,0,0,0,,VT
Georgia,55.00%,54.90%,Official,https://results.enr.clarityelections.com/GA/91639/Web02-state.220747/#/,"3,949,905","3,939,328","7,178,075","8,063,141",7.20%,"51,092","410,964","22,386","307,727",,GA
Florida,54.90%,54.30%,Official,https://floridaelectionwatch.gov/Home,"8,318,824","8,220,561","15,140,654","17,168,712",10.50%,"92,847","214,066","4,566","219,431",,FL
Virginia,54.80%,54.60%,Official,https://results.elections.virginia.gov/vaelections/2018%20November%20General/Site/Congress.html,"3,363,505","3,351,373","6,141,102","6,673,763",6.90%,"36,959","60,821","1,650","73,277",,VA
Alaska,54.60%,54.30%,Official,http://www.elections.alaska.gov/results/18GENR/,"285,009","283,134","521,777","554,426",4.10%,"4,317","6,621","1,812","9,903",,AK
