Poll,Date,Sample,MoE,McSally (R),Sinema (D),Spread
Final Results,--,--,--,47.6,49.9,Sinema +2.3
RCP Average,10/24 - 11/5,--,--,47.5,46.5,McSally +1.0
Trafalgar Group (R)Trafalgar,11/4 - 11/5,1217 LV,2.8,47,45,McSally +2
ABC 15/OH Predictive Insights*ABC 15*,11/2 - 11/3,631 LV,4.0,49,48,McSally +1
HarrisXHarrisX,10/29 - 11/4,1400 LV,2.6,48,45,McSally +3
Emerson*Emerson*,11/1 - 11/3,758 LV,3.7,48,49,Sinema +1
HarrisXHarrisX,10/28 - 11/3,1400 LV,2.6,49,43,McSally +6
Trafalgar Group (R)Trafalgar,10/30 - 11/1,2166 LV,2.1,47,50,Sinema +3
GravisGravis,10/24 - 11/2,1165 LV,2.9,47,46,McSally +1
FOX NewsFOX News,10/27 - 10/29,643 LV,3.5,46,46,Tie
CNNCNN,10/24 - 10/29,702 LV,4.4,47,51,Sinema +4
NBC News/MaristNBC/Marist,10/23 - 10/27,506 LV,5.4,44,50,Sinema +6
CBS News/YouGovCBS/YouGov,10/23 - 10/26,972 LV,4.1,44,47,Sinema +3
ABC 15/OH Predictive Insights*ABC 15*,10/22 - 10/23,600 LV,4.0,52,45,McSally +7
NY Times/SienaNY Times/Siena,10/15 - 10/19,606 LV,4.2,48,46,McSally +2
CBS News/YouGovCBS/YouGov,10/2 - 10/5,898 LV,--,44,47,Sinema +3
ABC 15/OH Predictive InsightsABC 15,10/1 - 10/2,600 LV,4.0,47,41,McSally +6
FOX NewsFOX News,9/29 - 10/2,716 LV,3.5,45,47,Sinema +2
Suffolk*Suffolk*,9/27 - 9/30,500 LV,4.4,42,45,Sinema +3
Emerson*Emerson*,9/19 - 9/21,650 RV,4.4,39,45,Sinema +6
NBC News/MaristNBC/Marist,9/16 - 9/20,564 LV,4.7,45,48,Sinema +3
CNNCNN,9/11 - 9/15,761 LV,4.3,43,50,Sinema +7
FOX NewsFOX News,9/8 - 9/11,710 LV,3.5,44,47,Sinema +3
ABC 15/OH Predictive InsightsABC 15,9/5 - 9/6,597 LV,4.0,49,46,McSally +3
GravisGravis,9/5 - 9/7,882 LV,5.3,49,48,McSally +1
ABC 15/OH Predictive InsightsABC 15,7/23 - 7/25,600 LV,4.0,44,48,Sinema +4
GravisGravis,6/27 - 7/2,925 LV,3.2,39,43,Sinema +4
EmersonEmerson,6/21 - 6/22,650 RV,4.0,32,40,Sinema +8
NBC News/MaristNBC/Marist,6/17 - 6/21,839 RV,4.5,38,49,Sinema +11
CBS News/YouGovCBS/YouGov,6/19 - 6/22,869 LV,--,37,45,Sinema +8
ABC 15/OH Predictive InsightsABC 15,4/10 - 4/11,600 LV,4.0,42,48,Sinema +6
OH Predictive InsightsPredictive Insights,11/9 - 11/9,600 LV,4.0,45,46,Sinema +1
