Poll,Date,Sample,Warnock (D),Collins (R),Loeffler (R),Lieberman (D),Tarver (D),Spread
RCP Average,10/8 - 10/21,--,32.6,22.6,22.6,8.0,2.3,Warnock +10.0
WSB-TV/LandmarkWSB-TV,10/21 - 10/21,500 LV,33,27,24,--,--,Warnock +6
EmersonEmerson,10/17 - 10/19,506 LV,27,27,20,12,2,Tie
NY Times/Siena*NYT/Siena*,10/13 - 10/19,759 LV,32,17,23,7,2,Warnock +9
WXIA-TV/SurveyUSAWXIA/SUSA,10/8 - 10/12,677 LV,30,20,26,8,3,Warnock +4
QuinnipiacQuinnipiac,10/8 - 10/12,1040 LV,41,22,20,5,2,Warnock +19
PPP (D)PPP (D),10/8 - 10/9,528 LV,41,22,24,3,0,Warnock +17
WSB-TV/Landmark*WSB-TV*,10/7 - 10/7,600 LV,36,23,26,3,0,Warnock +10
Atlanta Journal-ConstitutionAJC,9/27 - 10/6,1106 LV,28,21,22,3,4,Warnock +6
QuinnipiacQuinnipiac,9/23 - 9/27,1125 LV,31,22,23,9,4,Warnock +8
MonmouthMonmouth,9/17 - 9/21,402 LV,23,23,23,11,3,Tie
NY Times/SienaNYT/Siena,9/16 - 9/21,523 LV,19,19,23,7,4,Loeffler +4
Univ. of GeorgiaU. of GA,9/11 - 9/20,1150 LV,20,21,24,11,5,Loeffler +3
WXIA-TV/SurveyUSAWXIA/SUSA,8/6 - 8/8,623 LV,17,17,26,13,3,Loeffler +9
MonmouthMonmouth,7/23 - 7/27,402 RV,9,20,26,14,5,Loeffler +6
OAN/GravisGravis,7/2 - 7/2,513 RV,18,26,24,11,9,Collins +2
Univ. of GeorgiaU. of GA,2/24 - 3/2,1117 LV,6,21,19,11,--,Collins +2
