Poll,Date,Sample,MoE,Greenfield (D),Ernst (R),Spread
RCP Average,10/6 - 10/21,--,--,46.6,44.8,Greenfield +1.8
EmersonEmerson,10/19 - 10/21,435 LV,4.7,45,46,Ernst +1
NY Times/Siena*NYT/Siena*,10/18 - 10/20,753 LV,3.9,44,45,Ernst +1
InsiderAdvantage*InsiderAdvantage*,10/18 - 10/19,400 LV,4.9,48,43,Greenfield +5
Monmouth*Monmouth*,10/15 - 10/19,501 LV,4.4,49,47,Greenfield +2
CBS News/YouGovCBS News,10/6 - 10/9,1035 LV,3.5,47,43,Greenfield +4
QuinnipiacQuinnipiac,10/1 - 10/5,1256 LV,2.8,50,45,Greenfield +5
WHO-TV 13WHO-TV 13,9/23 - 9/26,780 LV,4.0,51,39,Greenfield +12
Monmouth*Monmouth*,9/18 - 9/22,402 LV,4.9,49,46,Greenfield +3
NY Times/Siena*NYT/Siena*,9/16 - 9/21,501 LV,5.0,42,40,Greenfield +2
Des Moines RegisterDM Register,9/14 - 9/17,658 LV,3.8,45,42,Greenfield +3
Monmouth*Monmouth*,7/30 - 8/3,401 LV,4.9,47,48,Ernst +1
Des Moines RegisterDM Register,6/7 - 6/10,674 LV,3.8,46,43,Greenfield +3
PPP (D)PPP (D),4/30 - 5/1,1222 RV,2.8,42,43,Ernst +1
