Poll,Date,Sample,MoE,Stabenow (D),James (R),Spread
Final Results,--,--,--,52.2,45.8,Stabenow +6.4
RCP Average,10/29 - 11/5,--,--,52.0,43.7,Stabenow +8.3
Mitchell ResearchMitchell Research,11/5 - 11/5,827 LV,3.4,49,46,Stabenow +3
Mitchell ResearchMitchell Research,11/4 - 11/4,701 LV,3.7,53,46,Stabenow +7
Trafalgar Group (R)Trafalgar,11/2 - 11/5,1817 LV,2.3,53,44,Stabenow +9
GravisGravis,10/29 - 10/30,764 LV,3.6,54,41,Stabenow +13
Detroit News/WDIV-TV*Detroit News*,10/25 - 10/27,600 LV,4.0,53,36,Stabenow +17
Mitchell ResearchMitchell Research,10/25 - 10/25,400 LV,5.0,52,46,Stabenow +6
EmersonEmerson,10/24 - 10/26,822 LV,3.6,52,43,Stabenow +9
Target-InsyghtTarget-Insyght,10/22 - 10/24,800 LV,3.0,53,43,Stabenow +10
EPIC-MRAEPIC-MRA,10/18 - 10/23,600 LV,4.0,49,42,Stabenow +7
MRGMRG,10/14 - 10/18,600 LV,4.0,53,37,Stabenow +16
Mitchell ResearchMitchell Research,9/30 - 10/7,654 LV,3.8,51,42,Stabenow +9
Detroit News/WDIV-TVDetroit News,9/30 - 10/2,600 LV,4.0,53,35,Stabenow +18
EPIC-MRAEPIC-MRA,9/21 - 9/25,600 LV,4.0,56,33,Stabenow +23
Mitchell ResearchMitchell Research,9/12 - 9/13,1009 LV,3.0,54,41,Stabenow +13
Target-Insyght/MIRSTarget-Insyght/MIRS,9/10 - 9/14,800 LV,3.0,55,40,Stabenow +15
Detroit News/WDIV-TVDetroit News,9/5 - 9/7,600 LV,4.0,56,33,Stabenow +23
GravisGravis,8/14 - 8/16,647 LV,3.9,51,35,Stabenow +16
EmersonEmerson,7/19 - 7/21,202 LV,7.3,47,29,Stabenow +18
NBC News/MaristNBC/Marist,7/15 - 7/19,886 RV,3.9,55,37,Stabenow +18
Detroit News/WDIV-TVDetroit News,1/16 - 1/19,600 LV,4.0,51,30,Stabenow +21
