Poll,Date,Sample,MoE,Hawley (R),McCaskill (D),Spread
Final Results,--,--,--,51.5,45.5,Hawley +6.0
RCP Average,10/27 - 11/4,--,--,46.8,46.2,Hawley +0.6
EmersonEmerson,11/1 - 11/3,732 LV,3.8,49,46,Hawley +3
HarrisXHarrisX,10/29 - 11/4,1400 LV,--,45,45,Tie
Trafalgar Group (R)Trafalgar,10/29 - 11/4,1791 LV,2.3,48,44,Hawley +4
HarrisXHarrisX,10/28 - 11/3,1400 LV,--,45,46,McCaskill +1
Missouri Scout*Missouri Scout*,11/1 - 11/2,1424 LV,2.6,47,47,Tie
NBC News/MaristNBC/Marist,10/30 - 11/1,600 LV,5.2,47,50,McCaskill +3
FOX NewsFOX News,10/27 - 10/30,741 LV,3.5,45,45,Tie
Missouri Scout*Missouri Scout*,10/24 - 10/25,1376 LV,2.6,49,45,Hawley +4
Missouri Scout*Missouri Scout*,10/17 - 10/18,1215 LV,2.7,47,46,Hawley +1
FOX NewsFOX News,9/29 - 10/2,683 LV,3.5,46,46,Tie
Missouri Scout*Missouri Scout*,9/26 - 9/27,1555 LV,2.5,48,46,Hawley +2
CNN*CNN*,9/25 - 9/29,756 LV,4.3,44,47,McCaskill +3
Trafalgar Group (R)Trafalgar,9/11 - 9/13,1724 LV,2.4,47,44,Hawley +3
CBS News/YouGovCBS/YouGov,9/10 - 9/14,917 LV,--,45,45,Tie
FOX NewsFOX News,9/8 - 9/11,675 LV,3.5,45,45,Tie
NBC News/MaristNBC/Marist,8/25 - 8/28,568 LV,4.8,47,47,Tie
Missouri Scout*Missouri Scout*,8/8 - 8/9,1785 LV,2.3,47,47,Tie
Remington Research (R)Remington (R),7/7 - 7/8,1034 LV,3.2,48,46,Hawley +2
Missouri Scout*Missouri Scout*,5/9 - 5/10,898 LV,3.3,44,48,McCaskill +4
EmersonEmerson,4/26 - 4/29,600 LV,4.2,45,45,Tie
Missouri Scout*Missouri Scout*,4/19 - 4/20,1542 LV,2.5,44,48,McCaskill +4
Mason-DixonMason-Dixon,4/4 - 4/6,625 RV,4.0,44,45,McCaskill +1
GravisGravis,3/5 - 3/7,931 RV,3.2,40,42,McCaskill +2
Remington Research (R)Remington (R),1/3 - 1/4,1122 LV,2.9,49,45,Hawley +4
Remington Research (R)Remington (R),10/11 - 10/12,965 LV,3.1,48,45,Hawley +3
Remington Research (R)Remington (R),8/16 - 8/18,922 LV,3.0,50,45,Hawley +5
Remington Research (R)Remington (R),7/7 - 7/8,928 LV,3.1,50,44,Hawley +6
