Poll,Date,Sample,MoE,Cunningham (D),Tillis (R),Spread
RCP Average,10/12 - 10/23,--,--,47.7,45.4,Cunningham +2.3
CBS News/YouGovCBS News,10/20 - 10/23,1022 LV,4.1,49,43,Cunningham +6
Rasmussen ReportsRasmussen,10/20 - 10/21,800 LV,3.5,45,45,Tie
Reuters/IpsosReuters,10/14 - 10/20,660 LV,4.0,47,47,Tie
CNBC/Change Research (D)CNBC,10/16 - 10/19,LV,--,51,45,Cunningham +6
East Carolina U.ECU,10/15 - 10/18,1155 LV,3.4,48,47,Cunningham +1
EmersonEmerson,10/13 - 10/14,721 LV,3.6,45,44,Cunningham +1
ABC News/Wash PostABC/WP,10/12 - 10/17,646 LV,4.5,49,47,Cunningham +2
NY Times/Siena*NYT/Siena*,10/9 - 10/13,627 LV,4.5,41,37,Cunningham +4
Reuters/IpsosReuters,10/7 - 10/13,660 LV,4.3,46,42,Cunningham +4
Monmouth*Monmouth*,10/8 - 10/11,500 LV,4.4,49,44,Cunningham +5
WRAL-TV/SurveyUSAWRAL-TV,10/8 - 10/11,699 LV,4.8,49,39,Cunningham +10
SusquehannaSusquehanna,10/7 - 10/11,500 LV,4.3,46,44,Cunningham +2
PPP (D)PPP (D),10/4 - 10/5,911 LV,3.3,48,42,Cunningham +6
East Carolina U.ECU,10/2 - 10/4,1232 LV,3.2,45,46,Tillis +1
CNBC/Change Research (D)CNBC,10/2 - 10/4,396 LV,--,50,46,Cunningham +4
Reuters/IpsosReuters,9/29 - 10/6,693 LV,4.0,47,42,Cunningham +5
CBS News/YouGovCBS News,9/22 - 9/25,1194 LV,3.6,48,38,Cunningham +10
UMass LowellUMLowell,9/18 - 9/25,921 LV,4.1,49,43,Cunningham +6
CNBC/Change Research (D)CNBC,9/18 - 9/20,579 LV,--,48,43,Cunningham +5
Civitas/Harper (R)*Civitas,9/17 - 9/20,612 LV,4.0,44,38,Cunningham +6
EmersonEmerson,9/16 - 9/18,717 LV,3.6,49,43,Cunningham +6
Reuters/IpsosReuters,9/11 - 9/16,586 LV,4.6,48,44,Cunningham +4
NY Times/Siena*NYT/Siena*,9/11 - 9/16,653 LV,4.3,42,37,Cunningham +5
USA Today/Suffolk*USA Today*,9/11 - 9/14,500 LV,4.4,42,38,Cunningham +4
WRAL-TV/SurveyUSAWRAL-TV,9/10 - 9/13,596 LV,5.6,47,40,Cunningham +7
CNN*CNN*,9/9 - 9/13,787 LV,4.4,47,46,Cunningham +1
Trafalgar Group (R)*Trafalgar (R)*,9/9 - 9/11,1046 LV,3.0,46,45,Cunningham +1
Rasmussen ReportsRasmussen,9/7 - 9/8,1000 LV,3.0,47,44,Cunningham +3
CNBC/Change Research (D)CNBC,9/4 - 9/6,442 LV,--,51,44,Cunningham +7
Monmouth*Monmouth*,8/29 - 9/1,401  RV,4.9,47,45,Cunningham +2
FOX News*FOX News*,8/29 - 9/1,722 LV,3.5,48,42,Cunningham +6
East Carolina U.ECU,8/29 - 8/30,1101 LV,3.4,44,44,Tie
CNBC/Change Research (D)CNBC,8/21 - 8/23,560 LV,--,52,42,Cunningham +10
East Carolina U.ECU,8/12 - 8/13,1255 RV,3.2,44,40,Cunningham +4
EmersonEmerson,8/8 - 8/10,673 LV,3.8,44,42,Cunningham +2
CNBC/Change Research (D)CNBC,8/7 - 8/9,491 LV,--,48,43,Cunningham +5
Civitas/Harper (R)*Civitas,8/6 - 8/10,600 LV,4.0,41,38,Cunningham +3
CBS News/YouGovCBS News,7/28 - 7/31,1129 LV,--,48,39,Cunningham +9
CNBC/Change Research (D)CNBC,7/24 - 7/26,284 LV,--,52,40,Cunningham +12
NBC News/MaristNBC/Marist,7/14 - 7/22,882 RV,4.0,50,41,Cunningham +9
CNBC/Change Research (D)CNBC,7/10 - 7/12,655 LV,--,49,42,Cunningham +7
PPP (D)PPP (D),7/7 - 7/8,881 RV,3.4,47,39,Cunningham +8
CNBC/Change Research (D)CNBC,6/26 - 6/28,597 LV,3.9,51,41,Cunningham +10
East Carolina U.ECU,6/22 - 6/25,1149 RV,3.4,41,41,Tie
PPP (D)PPP (D),6/22 - 6/23,1230 RV,2.9,44,40,Cunningham +4
FOX News*FOX News*,6/20 - 6/23,1012 RV,3.0,39,37,Cunningham +2
GravisGravis,6/17 - 6/17,631 RV,3.9,45,46,Tillis +1
NY Times/SienaNYT/Siena,6/8 - 6/18,653 RV,4.1,42,39,Cunningham +3
PPP (D)PPP (D),6/2 - 6/3,949 RV,3.2,43,41,Cunningham +2
Civitas/Harper (R)*Civitas,5/26 - 5/28,500 LV,4.4,36,38,Tillis +2
East Carolina U.ECU,5/7 - 5/9,1111 RV,3.4,40,41,Tillis +1
WRAL-TV/SurveyUSAWRAL-TV,4/23 - 4/26,580 LV,5.4,41,39,Cunningham +2
PPP (D)PPP (D),4/14 - 4/15,1318 RV,2.7,47,40,Cunningham +7
Civitas/Harper (R)*Civitas,4/5 - 4/7,500 LV,4.4,34,38,Tillis +4
East Carolina U.ECU,2/27 - 2/28,1288 RV,3.2,42,44,Tillis +2
NBC News/MaristNBC/Marist,2/23 - 2/27,2120 RV,2.6,48,43,Cunningham +5
EmersonEmerson,5/31 - 6/3,932 RV,3.1,46,39,Cunningham +7
