Poll,Date,Sample,MoE,Cramer (R),Heitkamp (D),Spread
Final Results,--,--,--,55.5,44.5,Cramer +11.0
RCP Average,10/23 - 10/30,--,--,52.5,43.5,Cramer +9.0
FOX NewsFOX News,10/27 - 10/30,789 LV,3.0,51,42,Cramer +9
Trafalgar Group (R)Trafalgar,10/23 - 10/24,1498 LV,2.1,54,45,Cramer +9
NBC Valley NewsNBC Valley News,10/12 - 10/19,650 LV,3.8,56,40,Cramer +16
FOX NewsFOX News,9/29 - 10/2,683 LV,3.5,53,41,Cramer +12
NBC Valley NewsNBC Valley News,9/17 - 9/27,650 LV,--,51,41,Cramer +10
FOX NewsFOX News,9/8 - 9/11,701 LV,3.5,48,44,Cramer +4
Mason-DixonMason-Dixon,6/13 - 6/15,625 LV,4.0,48,44,Cramer +4
GravisGravis,2/21 - 2/24,385 RV,5.0,40,43,Heitkamp +3
