Poll,Date,Sample,MoE,Menendez (D),Hugin (R),Spread
Final Results,--,--,--,53.7,43.1,Menendez +10.6
RCP Average,10/24 - 11/4,--,--,51.0,40.3,Menendez +10.7
QuinnipiacQuinnipiac,10/29 - 11/4,1115 LV,4.0,55,40,Menendez +15
Stockton University*Stockton*,10/24 - 10/30,598 LV,4.0,51,39,Menendez +12
EmersonEmerson,10/24 - 10/26,659 LV,4.0,47,42,Menendez +5
Rutgers-EagletonRutgers-Eagleton,10/12 - 10/16,496 LV,5.1,51,46,Menendez +5
QuinnipiacQuinnipiac,10/10 - 10/16,873 LV,4.3,51,44,Menendez +7
MonmouthMonmouth,10/11 - 10/15,527 LV,4.3,49,40,Menendez +9
CBS News/YouGovCBS/YouGov,10/2 - 10/5,845 LV,--,49,39,Menendez +10
QuinnipiacQuinnipiac,9/25 - 10/2,1058 LV,4.1,53,42,Menendez +11
Fairleigh DickinsonFDU,9/26 - 9/30,508 LV,4.3,43,37,Menendez +6
Stockton University*Stockton*,9/19 - 9/27,531 LV,4.3,45,43,Menendez +2
QuinnipiacQuinnipiac,8/15 - 8/20,908 RV,4.6,43,37,Menendez +6
GravisGravis,7/6 - 7/10,563 LV,4.1,43,41,Menendez +2
Fairleigh DickinsonFDU,5/16 - 5/21,856 RV,3.5,28,24,Menendez +4
MonmouthMonmouth,4/6 - 4/10,632 RV,3.9,53,32,Menendez +21
QuinnipiacQuinnipiac,3/8 - 3/12,1052 RV,4.2,49,32,Menendez +17
