Poll,Date,Sample,MoE,Cornyn (R),Hegar (D),Spread
RCP Average,9/18 - 10/20,--,--,47.8,39.6,Cornyn +8.2
QuinnipiacQuinnipiac,10/16 - 10/19,1145 LV,2.9,49,43,Cornyn +6
Dallas Morning News*DMN*,10/13 - 10/20,925 LV,3.2,42,34,Cornyn +8
Rasmussen ReportsRasmussen,10/5 - 10/6,1000 LV,3.0,48,39,Cornyn +9
UT/Texas Tribune*UT/Texas Tribune*,9/25 - 10/4,908 LV,4.1,50,42,Cornyn +8
UMass LowellUMLowell,9/18 - 9/25,882 LV,4.3,50,40,Cornyn +10
QuinnipiacQuinnipiac,9/17 - 9/21,1078 LV,3.0,50,42,Cornyn +8
NY Times/Siena*NYT/Siena*,9/16 - 9/21,653 LV,4.3,43,37,Cornyn +6
CBS News/YouGovCBS News,9/15 - 9/18,1205 LV,--,46,41,Cornyn +5
Dallas Morning News*DMN*,8/28 - 9/2,901 LV,3.3,39,28,Cornyn +11
Rice Univ./YouGov*YouGov*,8/4 - 8/13,846 RV,--,44,37,Cornyn +7
QuinnipiacQuinnipiac,7/16 - 7/20,880 RV,3.3,47,38,Cornyn +9
CBS News/YouGovCBS News,7/7 - 7/10,1212 RV,3.3,44,36,Cornyn +8
Dallas Morning NewsDMN,6/29 - 7/7,1677 LV,2.4,42,29,Cornyn +13
FOX NewsFOX News,6/20 - 6/23,1001 RV,3.0,46,36,Cornyn +10
Dallas Morning NewsDMN,4/18 - 4/27,1183 RV,2.9,37,24,Cornyn +13
NBC News/MaristNBC/Marist,2/23 - 2/27,2409 RV,2.5,49,41,Cornyn +8
