Poll,Date,Sample,MoE,Baldwin (D),Vukmir (R),Spread
Final Results,--,--,--,55.4,44.6,Baldwin +10.8
RCP Average,10/24 - 10/31,--,--,52.3,41.7,Baldwin +10.6
EmersonEmerson,10/29 - 10/31,604 LV,4.1,53,44,Baldwin +9
MarquetteMarquette,10/24 - 10/28,1154 LV,3.2,54,43,Baldwin +11
MarquetteMarquette,10/3 - 10/7,799 LV,3.9,53,43,Baldwin +10
NBC News/MaristNBC/Marist,9/30 - 10/3,571 LV,4.8,54,40,Baldwin +14
MarquetteMarquette,9/12 - 9/16,614 LV,4.4,53,42,Baldwin +11
SuffolkSuffolk,8/18 - 8/24,500 LV,4.4,50,42,Baldwin +8
MarquetteMarquette,8/15 - 8/19,601 LV,4.5,49,47,Baldwin +2
EmersonEmerson,7/26 - 7/28,632 RV,4.2,50,36,Baldwin +14
NBC News/MaristNBC/Marist,7/15 - 7/19,906 RV,3.8,55,38,Baldwin +17
MarquetteMarquette,6/13 - 6/17,800 RV,4.0,49,40,Baldwin +9
