state,name,party
Alabama,Doug Jones,D
Alabama,Richard Shelby,R
Alaska,Dan Sullivan,R
Alaska,Lisa Murkowski,R
Arizona,Kyrsten Sinema,D
Arizona,Martha McSally,R
Arkansas,Tom Cotton,R
Arkansas,John Boozman,R
California,Dianne Feinstein,D
California,Kamala Harris,D
Colorado,Cory Gardner,R
Colorado,Michael Bennet,D
Connecticut,Chris Murphy,D
Connecticut,Richard Blumenthal,D
Delaware,Tom Carper,D
Delaware,Chris Coons,D
Florida,Rick Scott,R
Florida,Marco Rubio,R
Georgia,David Perdue,R
Georgia,Johnny Isakson,R
Hawaii,Mazie Hirono,D
Hawaii,Brian Schatz,D
Idaho,Jim Risch,R
Idaho,Mike Crapo,R
Illinois,Dick Durbin,D
Illinois,Tammy Duckworth,D
Indiana,Mike Braun,R
Indiana,Todd Young,R
Iowa,Joni Ernst,R
Iowa,Chuck Grassley,R
Kansas,Pat Roberts,R
Kansas,Jerry Moran,R
Kentucky,Mitch McConnell,R
Kentucky,Rand Paul,R
Louisiana,Bill Cassidy,R
Louisiana,John Kennedy,R
Maine,Angus King,I
Maine,Susan Collins,R
Maryland,Ben Cardin,D
Maryland,Chris Van Hollen,D
Massachusetts,Elizabeth Warren,D
Massachusetts,Ed Markey,D
Michigan,Debbie Stabenow,D
Michigan,Gary Peters,D
Minnesota,Amy Klobuchar,D
Minnesota,Tina Smith,D
Mississippi,Roger Wicker,R
Mississippi,Cindy Hyde-Smith,R
Missouri,Josh Hawley,R
Missouri,Roy Blunt,R
Montana,Jon Tester,D
Montana,Steve Daines,R
Nebraska,Deb Fischer,R
Nebraska,Ben Sasse,R
Nevada,Jacky Rosen,D
Nevada,Catherine Cortez Masto,D
New Hampshire,Jeanne Shaheen,D
New Hampshire,Maggie Hassan,D
New Jersey,Robert Menendez,D
New Jersey,Cory Booker,D
New Mexico,Martin Heinrich,D
New Mexico,Tom Udall,D
New York,Kirsten Gillibrand,D
New York,Chuck Schumer,D
North Carolina,Thom Tillis,R
North Carolina,Richard Burr,R
North Dakota,Kevin Cramer,R
North Dakota,John Hoeven,R
Ohio,Sherrod Brown,D
Ohio,Rob Portman,R
Oklahoma,James Inhofe,R
Oklahoma,James Lankford,R
Oregon,Jeff Merkley,D
Oregon,Ron Wyden,D
Pennsylvania,Bob Casey Jr.,D
Pennsylvania,Pat Toomey,R
Rhode Island,Sheldon Whitehouse,D
Rhode Island,Jack Reed,D
South Carolina,Lindsey Graham,R
South Carolina,Tim Scott,R
South Dakota,Mike Rounds,R
South Dakota,John Thune,R
Tennessee,Marsha Blackburn,R
Tennessee,Lamar Alexander,R
Texas,Ted Cruz,R
Texas,John Cornyn,R
Utah,Mitt Romney,R
Utah,Mike Lee,R
Vermont,Bernie Sanders,I
Vermont,Patrick Leahy,D
Virginia,Tim Kaine,D
Virginia,Mark Warner,D
Washington,Maria Cantwell,D
Washington,Patty Murray,D
West Virginia,Joe Manchin,D
West Virginia,Shelley Moore Capito,R
Wisconsin,Tammy Baldwin,D
Wisconsin,Ron Johnson,R
Wyoming,John Barrasso,R
Wyoming,Mike Enzi,R
