Poll,Date,Sample,MoE,Donnelly (D),Braun (R),Brenton (L),Spread
Final Results,--,--,--,45.1,51.0,3.9,Braun +5.9
RCP Average,10/15 - 10/30,--,--,44.0,43.3,4.5,Donnelly +0.7
FOX NewsFOX News,10/27 - 10/30,722 LV,3.5,45,38,5,Donnelly +7
NBC News/MaristNBC/Marist,10/24 - 10/28,496 LV,5.5,45,42,7,Donnelly +3
CBS News/YouGovCBS/YouGov,10/23 - 10/26,975 LV,3.7,43,46,3,Braun +3
Indy Politics/Mason Strategies (R)Indy Politics,10/15 - 10/20,600 LV,3.9,43,47,3,Braun +4
SurveyUSASUSA,10/12 - 10/16,816 LV,4.6,41,40,8,Donnelly +1
GravisGravis,10/12 - 10/16,377 LV,5.1,44,40,7,Donnelly +4
FOX NewsFOX News,9/29 - 10/2,695 LV,3.5,43,41,6,Donnelly +2
FOX NewsFOX News,9/8 - 9/11,677 LV,3.5,43,45,3,Braun +2
NBC News/MaristNBC/Marist,8/26 - 8/29,576 LV,5.0,44,41,8,Donnelly +3
