Poll,Date,Sample,MoE,Rosen (D),Heller (R),Spread
Final Results,--,--,--,50.4,45.4,Rosen +5.0
RCP Average,10/29 - 11/4,--,--,46.7,46.7,Tie
EmersonEmerson,11/1 - 11/4,1197 LV,3.0,49,45,Rosen +4
HarrisXHarrisX,10/29 - 11/4,1400 LV,2.6,45,46,Heller +1
Trafalgar Group (R)Trafalgar,10/29 - 11/1,2587 LV,1.9,46,49,Heller +3
HarrisXHarrisX,10/28 - 11/3,1400 LV,2.6,45,45,Tie
CNN*CNN*,10/24 - 10/29,622 LV,4.8,48,45,Rosen +3
GravisGravis,10/24 - 10/26,773 LV,3.5,47,45,Rosen +2
Emerson*Emerson*,10/10 - 10/12,625 LV,4.2,41,48,Heller +7
NY Times/SienaNY Times/Siena,10/8 - 10/10,642 LV,4.0,45,47,Heller +2
NBC News/MaristNBC/Marist,9/30 - 10/3,574 LV,5.5,44,46,Heller +2
CNN*CNN*,9/25 - 9/29,693 LV,4.6,47,43,Rosen +4
GravisGravis,9/11 - 9/12,700 LV,3.7,47,45,Rosen +2
Suffolk*Suffolk*,9/5 - 9/10,500 LV,4.4,42,41,Rosen +1
Suffolk*Suffolk*,7/25 - 7/29,500 LV,4.4,40,41,Heller +1
GravisGravis,6/23 - 6/26,630 RV,3.9,45,41,Rosen +4
Nevada Independent/MellmanNevada Independent,4/12 - 4/19,600 LV,4.0,39,40,Heller +1
