Poll,Date,Sample,MoE,Blackburn (R),Bredesen (D),Spread
Final Results,--,--,--,54.7,43.9,Blackburn +10.8
RCP Average,10/22 - 10/30,--,--,49.2,44.0,Blackburn +5.2
EmersonEmerson,10/28 - 10/30,632 LV,4.0,52,44,Blackburn +8
FOX NewsFOX News,10/27 - 10/30,718 LV,3.5,50,41,Blackburn +9
CNNCNN,10/24 - 10/29,764 LV,4.3,49,45,Blackburn +4
East Tennessee State UniversityETSU,10/22 - 10/29,495 LV,4.4,44,44,Tie
NBC News/MaristNBC/Marist,10/23 - 10/27,471 LV,5.7,51,46,Blackburn +5
Vanderbilt UniversityVanderbilt,10/8 - 10/13,800 RV,4.9,43,44,Bredesen +1
NY Times/SienaNY Times/Siena,10/8 - 10/11,593 LV,4.2,54,40,Blackburn +14
CBS News/YouGovCBS/YouGov,10/2 - 10/5,871 LV,--,50,42,Blackburn +8
FOX NewsFOX News,9/29 - 10/2,666 LV,3.5,48,43,Blackburn +5
CNNCNN,9/11 - 9/15,723 LV,4.3,45,50,Bredesen +5
FOX NewsFOX News,9/8 - 9/11,686 LV,3.5,47,44,Blackburn +3
NBC News/MaristNBC/Marist,8/25 - 8/28,538 LV,5.1,46,48,Bredesen +2
GravisGravis,8/9 - 8/11,620 LV,3.9,48,44,Blackburn +4
EmersonEmerson,7/11 - 7/14,657 RV,4.1,37,43,Bredesen +6
Mason-DixonMason-Dixon,4/17 - 4/19,625 RV,4.0,43,46,Bredesen +3
Middle Tn. State Univ.Middle Tn. State Univ.,3/22 - 3/29,600 RV,4.0,35,45,Bredesen +10
GravisGravis,12/11 - 12/12,563 RV,4.1,40,42,Bredesen +2
