Poll,Date,Sample,MoE,Manchin (D),Morrisey (R),Spread
Final Results,--,--,--,49.5,46.3,Manchin +3.2
RCP Average,10/19 - 10/31,--,--,46.0,41.0,Manchin +5.0
Emerson*Emerson*,10/28 - 10/31,1013 LV,3.2,47,42,Manchin +5
MetroNews*MetroNews*,10/19 - 10/30,400 LV,4.9,45,40,Manchin +5
WSAZ-TV*WSAZ-TV*,10/12 - 10/19,650 LV,3.8,52,36,Manchin +16
WSAZ-TV*WSAZ-TV*,9/17 - 9/26,650 LV,3.8,46,38,Manchin +8
EmersonEmerson,9/13 - 9/15,825 RV,3.5,45,33,Manchin +12
MetroNewsMetroNews,8/16 - 8/26,404 LV,4.9,46,38,Manchin +8
Trafalgar Group (R)*Trafalgar (R)*,7/13 - 7/16,1158 LV,2.9,50,40,Manchin +10
MonmouthMonmouth,6/14 - 6/19,527 LV,5.3,50,43,Manchin +7
PPP (D)*PPP (D)*,6/12 - 6/13,633 RV,--,46,35,Manchin +11
GravisGravis,5/22 - 5/22,543 LV,4.2,53,40,Manchin +13
WPAi (R)WPAi (R),5/10 - 5/10,400 LV,4.9,44,46,Morrisey +2
MetroNewsMetroNews,8/11 - 8/20,400 LV,4.9,51,37,Manchin +14
