vote,id,chamber,congress,date,rollnumber,description
V0,RH1140372,House,114,2015-06-18,372,"To amend the Internal Revenue Code of 1986 to allow Federal law enforcement officers, firefighters, and air traffic controllers to make penalty-free withdrawals from governmental plans after age 50, and for other purposes"
V1,RH1140987,House,114,2016-06-09,987,Torres of California Amendment No. 8
V2,RH1150151,House,115,2017-03-09,151,Innocent Party Protection Act
V3,RH1150421,House,115,2017-07-26,421,Esty of Connecticut Amendment No. 44
V4,RH1150424,House,115,2017-07-26,424,Jackson Lee of Texas Amendment No. 56
V5,RH1150429,House,115,2017-07-27,429,Suozzi of New York Part B Amendment No. 10
V6,RH1150433,House,115,2017-07-27,433,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2018, and for other purposes"
V7,RS1140137,Senate,114,2015-04-14,137,To repeal the individual mandate.
V8,RS1140138,Senate,114,2015-04-14,138,To protect and retain our Children's Health Insurance Program for 4 years (PRO-CHIP).
V9,RS1140262,Senate,114,2015-08-03,262,A bill to prohibit Federal funding of Planned Parenthood Federation of America.
